Book,Chapter,Verse,Ref,Indonesian,Subheading
Lukas,1,1,Lukas 1:1,"Sesungguhnya, banyak orang telah berusaha menulis kisah tentang peristiwa-peristiwa yang terjadi di antara kita.",Pendahuluan
Lukas,1,2,Lukas 1:2,Kisah itu disampaikan kepada kita oleh orang-orang yang sejak semula melihat dengan mata kepala sendiri peristiwa-peristiwa itu dan yang juga menjadi pemberita firman.,
Lukas,1,3,Lukas 1:3,"Aku sendiri telah memeriksa semuanya dengan teliti dari awal. Maka sekarang, Tuan Teofilus yang mulia, aku berkenan menulisnya lagi dengan teratur untuk Tuan.",
Lukas,1,4,Lukas 1:4,"Dengan demikian, Tuan dapat mengetahui dengan tepat kebenaran dari semua yang diajarkan kepada Tuan.",
Lukas,1,5,Lukas 1:5,"Pada waktu Herodes menjadi raja wilayah Yudea, ada seorang imam bernama Zakharia. Ia termasuk rombongan imam Abia. Istrinya berasal dari keturunan Harun, namanya Elisabet.",Pemberitahuan tentang Kelahiran Nabi Yahya
Lukas,1,6,Lukas 1:6,Keduanya adalah orang yang saleh di hadapan Allah. Mereka hidup menurut segala perintah dan hukum Tuhan dengan tidak bercacat.,
Lukas,1,7,Lukas 1:7,"Namun, mereka tidak mempunyai anak karena Elisabet mandul. Selain itu, keduanya pun sudah lanjut usia.",
Lukas,1,8,Lukas 1:8,"Pada suatu kali, ketika tiba giliran rombongan imam Abia, Zakharia menjalankan pekerjaan keimaman di hadapan Allah.",
Lukas,1,9,Lukas 1:9,"Menurut adat istiadat pekerjaan imam, undian dilaksanakan untuk menentukan siapa imam yang bertugas masuk ke dalam Bait Allah dan membakar dupa di situ. Kali itu, Zakharialah yang terkena undian.",
Lukas,1,10,Lukas 1:10,"Pada saat pembakaran dupa itu dilakukan, seluruh umat yang berada di luar memanjatkan doa.",
Lukas,1,11,Lukas 1:11,"Lalu, malaikat Tuhan memperlihatkan diri kepada Zakharia. Malaikat itu berdiri di sebelah kanan meja tempat pembakaran dupa.",
Lukas,1,12,Lukas 1:12,"Ketika Zakharia melihat malaikat itu, ia terkejut dan menjadi sangat takut.",
Lukas,1,13,Lukas 1:13,"Lalu, kata malaikat itu kepadanya, “Jangan takut, hai Zakharia. Permintaanmu telah didengar dan istrimu, Elisabet, akan melahirkan seorang anak laki-laki untukmu. Engkau harus menamainya Yahya.",
Lukas,1,14,Lukas 1:14,"Engkau akan berbahagia dan gembira, dan banyak orang pun akan senang dengan kelahiran anak itu.",
Lukas,1,15,Lukas 1:15,"Ia akan menjadi orang yang besar di mata Tuhan. Ia tidak akan minum anggur atau minuman keras, dan ia akan dikuasai oleh Ruh Allah sejak dalam rahim ibunya.",
Lukas,1,16,Lukas 1:16,"Ia akan memimpin banyak orang dari bani Israil kembali kepada Allah, Tuhan mereka.",
Lukas,1,17,Lukas 1:17,"Dengan ruh dan kuasa Nabi Ilyas, ia akan berjalan mendahului Tuhan untuk membuat hati bapak-bapak kembali kepada anak-anaknya dan orang-orang durhaka kembali kepada hikmah orang-orang benar. Dengan demikian, ia menyiapkan bagi Tuhan suatu umat yang layak bagi-Nya.”",
Lukas,1,18,Lukas 1:18,"Maka, kata Zakharia kepada malaikat itu, “Bagaimana hamba dapat meyakininya? Hamba sudah tua dan istri hamba pun sudah lanjut usia.”",
Lukas,1,19,Lukas 1:19,"Maka, jawab malaikat itu, “Aku ini Jibrail, yang selalu siap sedia di hadapan Allah. Aku diutus untuk berbicara kepadamu dan memberitakan kabar baik ini kepadamu.",
Lukas,1,20,Lukas 1:20,"Sesungguhnya, semua itu akan menjadi kenyataan pada waktunya. Akan tetapi, karena engkau tidak percaya pada kata-kataku, maka engkau akan menjadi bisu dan tidak dapat berbicara sampai saatnya semua itu terjadi.”",
Lukas,1,21,Lukas 1:21,Orang banyak yang berada di luar menunggu Zakharia. Mereka heran sebab ia begitu lama di dalam Bait Allah.,
Lukas,1,22,Lukas 1:22,"Maka, ketika ia keluar dan tidak lagi dapat berbicara kepada mereka, mereka pun tahu bahwa di dalam Bait Allah ia telah mendapat suatu penglihatan dari surga. Dengan bahasa isyarat ia berbicara kepada mereka sebab ia menjadi bisu.",
Lukas,1,23,Lukas 1:23,"Setelah hari kerjanya berakhir, pulanglah ia ke rumahnya.",
Lukas,1,24,Lukas 1:24,"Tak lama kemudian, mengandunglah Elisabet, istrinya. Lima bulan lamanya Elisabet tidak memperlihatkan dirinya kepada orang-orang. Ia berkata,",
Lukas,1,25,Lukas 1:25,“Ini adalah pekerjaan Tuhan bagi diriku. Akhirnya Ia memperhatikan aku dan menghapuskan aibku di depan orang.”,
Lukas,1,26,Lukas 1:26,"Dalam bulan yang keenam, malaikat Jibrail diutus Allah ke sebuah kota yang bernama Nazaret di Galilea.",Pemberitahuan tentang Kelahiran Isa
Lukas,1,27,Lukas 1:27,"Ia diutus kepada seorang gadis perawan, tunangan seorang laki-laki yang bernama Yusuf, keturunan Nabi Daud. Nama gadis itu Maryam.",
Lukas,1,28,Lukas 1:28,"Malaikat itu datang menemui Maryam dan berkata, “Salam, hai engkau, yang memperoleh anugerah. Tuhan besertamu.”",
Lukas,1,29,Lukas 1:29,"Maryam terkejut mendengar perkataan itu dan berpikir, “Salam apakah ini?”",
Lukas,1,30,Lukas 1:30,"Kata malaikat itu kepadanya, “Jangan takut, Maryam, karena engkau memperoleh anugerah Allah.",
Lukas,1,31,Lukas 1:31,"Engkau akan mengandung dan melahirkan seorang anak laki-laki, dan engkau harus menamai-Nya Isa.",
Lukas,1,32,Lukas 1:32,"Ia akan menjadi besar dan akan disebut Sang Anak yang datang dari Allah Yang Mahatinggi. Allah, Tuhan kita, akan memberikan kepada-Nya takhta Daud, nenek moyang-Nya.",
Lukas,1,33,Lukas 1:33,Ia akan memerintah keturunan Yakub untuk selama-lamanya dan kerajaan-Nya tidak akan berkesudahan.”,
Lukas,1,34,Lukas 1:34,"Maka, kata Maryam kepada malaikat itu, “Bagaimana hal ini akan terjadi? Karena bukankah hamba belum pernah disentuh oleh seorang laki-laki pun?”",
Lukas,1,35,Lukas 1:35,"Jawab malaikat itu, “Ruh Allah akan datang atasmu dan kuasa Allah Yang Mahatinggi akan meliputi engkau. Sebab itu, anak yang akan dilahirkan itu akan disebut suci, Sang Anak yang datang dari Allah.",
Lukas,1,36,Lukas 1:36,"Sesungguhnya, Elisabet, sanak saudaramu itu, sedang mengandung seorang anak laki-laki pada masa tuanya ini. Memang dahulu ia dikatakan mandul, tetapi sekarang usia kandungannya sudah enam bulan.",
Lukas,1,37,Lukas 1:37,Sebab bagi Allah tidak ada satu pun yang mustahil.”,
Lukas,1,38,Lukas 1:38,"Maryam berkata, “Sesungguhnya, aku ini hamba Tuhan, terjadilah pada hamba seperti yang Tuan katakan.” Lalu, malaikat itu pergi meninggalkannya.",
Lukas,1,39,Lukas 1:39,"Segera setelah itu, Maryam bersiap-siap, lalu bergegas pergi ke pegunungan, ke sebuah kota di Yudea.",Maryam dan Elisabet
Lukas,1,40,Lukas 1:40,Ia masuk ke rumah Zakharia dan memberi salam kepada Elisabet.,
Lukas,1,41,Lukas 1:41,"Ketika Elisabet mendengar salam Maryam, bayi yang ada dalam rahimnya bergerak-gerak dengan kuat, lalu Elisabet dikuasai oleh Ruh Allah.",
Lukas,1,42,Lukas 1:42,"Dengan suara yang nyaring ia berseru kepada Maryam, “Engkau paling dilimpahi berkah di antara semua perempuan. Diberkahi pula bayi yang ada dalam kandunganmu.",
Lukas,1,43,Lukas 1:43,Siapakah aku ini sehingga ibu dari Junjunganku datang mengunjungiku?,
Lukas,1,44,Lukas 1:44,"Sebab ketika salammu itu terdengar oleh telingaku, bayi yang ada dalam kandunganku tiba-tiba melonjak kegirangan.",
Lukas,1,45,Lukas 1:45,"Berbahagialah engkau, Maryam, karena engkau percaya bahwa apa yang dikatakan Tuhan kepadamu akan terjadi.”",
Lukas,1,46,Lukas 1:46,"Lalu, Maryam berkata, “Jiwaku memuliakan Tuhan",Nyanyian Pujian Maryam
Lukas,1,47,Lukas 1:47,dan ruhku bergembira karena Allah Penyelamatku.,
Lukas,1,48,Lukas 1:48,Ia memperhatikan kerendahan hamba-Nya. Mulai sekarang ini hingga zaman ke zaman semua orang akan menyebut aku berbahagia,
Lukas,1,49,Lukas 1:49,sebab Yang Mahakuasa telah melakukan hal-hal yang besar bagiku. Mahasuci nama-Nya.,
Lukas,1,50,Lukas 1:50,Rahmat-Nya berlaku turun-temurun bagi orang yang bertakwa kepada-Nya.,
Lukas,1,51,Lukas 1:51,"Ditunjukkan-Nya kekuatan-Nya melalui pekerjaan tangan-Nya, dan dicerai-beraikan-Nya orang yang sombong hatinya.",
Lukas,1,52,Lukas 1:52,Raja-raja diturunkan-Nya dari takhta kerajaannya dan orang-orang yang rendah ditinggikan kedudukannya.,
Lukas,1,53,Lukas 1:53,Orang yang lapar dikenyangkan-Nya dengan hal-hal yang baik dan orang kaya disuruhnya pergi dengan tangan hampa.,
Lukas,1,54,Lukas 1:54,"Ditolong-Nya Israil, hamba-Nya,",
Lukas,1,55,Lukas 1:55,"karena Ia ingat akan rahmat-Nya yang dijanjikan-Nya kepada nenek moyang kita, kepada Nabi Ibrahim dan keturunannya untuk selama-lamanya.”",
Lukas,1,56,Lukas 1:56,"Maryam tinggal di rumah Elisabet kira-kira tiga bulan lamanya, kemudian ia pulang ke rumahnya.",
Lukas,1,57,Lukas 1:57,"Setelah genap bulannya bagi Elisabet untuk bersalin, ia melahirkan seorang anak laki-laki.",Kelahiran Nabi Yahya
Lukas,1,58,Lukas 1:58,"Tetangga-tetangganya dan kaum keluarganya mendengar bahwa Tuhan telah melimpahkan rahmat-Nya kepada Elisabet. Maka, mereka pun bergembira bersama-sama dengannya.",
Lukas,1,59,Lukas 1:59,"Pada hari yang kedelapan datanglah mereka untuk mengkhitankan anak itu. Mereka hendak menamainya Zakharia, seperti nama ayahnya,",
Lukas,1,60,Lukas 1:60,"tetapi ibunya berkata, “Jangan, ia harus diberi nama Yahya.”",
Lukas,1,61,Lukas 1:61,"Mereka berkata, “Dalam keluargamu tidak ada seorang pun yang namanya begitu.”",
Lukas,1,62,Lukas 1:62,"Lalu, dengan isyarat mereka bertanya kepada Zakharia, ayahnya, apa nama yang hendak diberikannya kepada anaknya itu.",
Lukas,1,63,Lukas 1:63,"Zakharia meminta sebuah batu tulis dari mereka, lalu menulis demikian, “Namanya Yahya.” Mereka semua heran.",
Lukas,1,64,Lukas 1:64,"Seketika itu juga mulut Zakharia dapat berbicara lagi dan lidahnya tidak lagi kaku, lalu ia memuliakan Allah.",
Lukas,1,65,Lukas 1:65,Orang-orang yang tinggal di sekitarnya menjadi takut. Semua peristiwa yang terjadi dibicarakan orang di seluruh daerah pegunungan Yudea.,
Lukas,1,66,Lukas 1:66,"Setiap orang yang mendengar tentang hal itu berkata dalam hatinya, “Apa gerangan yang akan terjadi dengan anak itu nanti?” Karena tangan Tuhan menyertai dia.",
Lukas,1,67,Lukas 1:67,"Zakharia, ayah anak itu, dikuasai oleh Ruh Allah, lalu bernubuat,",Nyanyian Pujian Zakharia
Lukas,1,68,Lukas 1:68,"“Segala puji bagi Allah, Tuhan bani Israil. Ia telah melawat umat-Nya dan membebaskan mereka.",
Lukas,1,69,Lukas 1:69,"Ia menetapkan bagi kita Penyelamat yang berkuasa dari antara keturunan Daud, hamba-Nya,",
Lukas,1,70,Lukas 1:70,seperti yang telah difirmankan-Nya melalui nabi-nabi-Nya yang suci sejak dahulu kala.,
Lukas,1,71,Lukas 1:71,Dialah yang menyelamatkan kita dari musuh-musuh kita dan dari tangan semua orang yang membenci kita.,
Lukas,1,72,Lukas 1:72,"Hal itu dilakukan-Nya untuk menunjukkan belas kasihan-Nya kepada nenek moyang kita dan untuk mengingat perjanjian-Nya yang suci,",
Lukas,1,73,Lukas 1:73,"yaitu sumpah yang diucapkan-Nya kepada Ibrahim, nenek moyang kita,",
Lukas,1,74,Lukas 1:74,untuk melepaskan kita dari tangan musuh-musuh kita supaya tanpa takut kita dapat beribadah kepada-Nya,
Lukas,1,75,Lukas 1:75,dalam kesucian dan kesalehan di hadapan-Nya seumur hidup kita.,
Lukas,1,76,Lukas 1:76,"Engkau, anakku, akan disebut nabi Allah Yang Mahatinggi karena engkau akan mendahului Tuhan untuk mempersiapkan jalan bagi-Nya",
