Book,Chapter,Verse,Ref,Indonesian,Subheading
Markus,1,1,Markus 1:1,"Inilah permulaan Injil mengenai Isa Al-Masih, Sang Anak yang datang dari Allah,",Nabi Yahya
Markus,1,2,Markus 1:2,"seperti telah tertulis dalam tulisan Nabi Yesaya, “Lihatlah, Aku menyuruh utusan-Ku mendahului Engkau; dialah yang akan mempersiapkan jalan bagi-Mu.",
Markus,1,3,Markus 1:3,"Ada suara orang yang berseru-seru di padang belantara, ‘Persiapkanlah jalan bagi Tuhan! Luruskanlah jalan-jalan-Nya!’”",
Markus,1,4,Markus 1:4,Nabi Yahya tampil di padang belantara. Ia mengabarkan permandian sebagai tanda pertobatan demi pengampunan dosa.,
Markus,1,5,Markus 1:5,"Kemudian, berdatanganlah orang-orang dari seluruh wilayah Yudea dan semua penduduk Yerusalem untuk menemuinya. Mereka dipermandikan olehnya di Sungai Yordan setelah mengaku dosa mereka masing-masing.",
Markus,1,6,Markus 1:6,"Pakaian Yahya terbuat dari bulu unta dan ikat pinggangnya dari kulit, sedangkan makanannya ialah belalang serta madu hutan.",
Markus,1,7,Markus 1:7,"Ia menyampaikan berita ini, “Sesudah aku, akan datang seseorang yang lebih berkuasa daripada aku. Membungkukkan diri untuk membukakan tali kasut-Nya pun aku tidak layak.",
Markus,1,8,Markus 1:8,"Aku mempermandikan kamu dengan air, tetapi Dia akan mempermandikan kamu dengan Ruh Allah Yang Mahasuci.”",
Markus,1,9,Markus 1:9,"Pada waktu itu datanglah Isa dari Nazaret di wilayah Galilea, kemudian Ia pun dipermandikan oleh Yahya di Sungai Yordan.",Isa Dipermandikan Nabi Yahya
Markus,1,10,Markus 1:10,"Ketika Isa keluar dari air, Ia melihat langit terkoyak dan Ruh Allah, seperti seekor merpati, turun ke atas-Nya.",
Markus,1,11,Markus 1:11,"Kemudian, terdengarlah suara dari surga, “Engkaulah Sang Anak yang Kukasihi, kepada-Mulah Aku berkenan.”",
Markus,1,12,Markus 1:12,"Segera setelah itu, Ruh Allah membawa Isa ke padang belantara.",Godaan di Padang Belantara
