Book,Chapter,Verse,Ref,Indonesian,Subheading
Matius,1,1,Matius 1:1,"Inilah silsilah Isa Al-Masih, anak Daud, anak Ibrahim:",Silsilah Isa Al-Masih
Matius,1,2,Matius 1:2,"Ibrahim mempunyai anak, Ishak; Ishak mempunyai anak, Yakub; Yakub mempunyai anak, Yuda dan saudara-saudaranya;",
Matius,1,3,Matius 1:3,"Yuda mempunyai anak, Peres dan Zerah, dari Tamar; Peres mempunyai anak, Hezron; Hezron mempunyai anak, Ram;",
Matius,1,4,Matius 1:4,"Ram mempunyai anak, Aminadab; Aminadab mempunyai anak, Nahason; Nahason mempunyai anak, Salmon;",
Matius,1,5,Matius 1:5,"Salmon mempunyai anak, Boas, dari Rahab; Boas mempunyai anak, Obed, dari Rut; Obed mempunyai anak, Isai;",
Matius,1,6,Matius 1:6,"Isai mempunyai anak, Daud; Daud mempunyai anak, Sulaiman, dari janda Uria;",
Matius,1,7,Matius 1:7,"Sulaiman mempunyai anak, Rehabeam; Rehabeam mempunyai anak, Abia; Abia mempunyai anak, Asa;",
Matius,1,8,Matius 1:8,"Asa mempunyai anak, Yosafat; Yosafat mempunyai anak, Yoram; Yoram mempunyai anak, Uzia;",
Matius,1,9,Matius 1:9,"Uzia mempunyai anak, Yotam; Yotam mempunyai anak, Ahas; Ahas mempunyai anak, Hizkia;",
Matius,1,10,Matius 1:10,"Hizkia mempunyai anak, Manasye; Manasye mempunyai anak, Amon; Amon mempunyai anak, Yosia;",
Matius,1,11,Matius 1:11,"Yosia mempunyai anak, Yekhonya dan saudara-saudaranya, pada masa bani Israil dibuang ke Babel;",
Matius,1,12,Matius 1:12,"Yekhonya mempunyai anak, Sealtiel, setelah pembuangan ke Babel; Sealtiel mempunyai anak, Zerubabel;",
Matius,1,13,Matius 1:13,"Zerubabel mempunyai anak, Abihud; Abihud mempunyai anak, Elyakim; Elyakim mempunyai anak, Azor;",
Matius,1,14,Matius 1:14,"Azor mempunyai anak, Zadok; Zadok mempunyai anak, Akhim; Akhim mempunyai anak, Eliud;",
Matius,1,15,Matius 1:15,"Eliud mempunyai anak, Eleazar; Eleazar mempunyai anak, Matan; Matan mempunyai anak, Yakub;",
Matius,1,16,Matius 1:16,"Yakub mempunyai anak, Yusuf, yaitu suami Maryam; dari Maryam itulah lahir Isa, Sang Al-Masih.",
Matius,1,17,Matius 1:17,"Jadi, dari Nabi Ibrahim sampai Nabi Daud semuanya ada empat belas keturunan, dari Daud sampai masa pembuangan ke Babel juga ada empat belas keturunan, demikian pula dari masa pembuangan ke Babel sampai Al-Masih ada empat belas keturunan.",
Matius,1,18,Matius 1:18,"Inilah riwayat kelahiran Isa Al-Masih. Ketika Maryam, ibu-Nya, masih bertunangan dengan Yusuf, ternyata Maryam telah mengandung karena kuasa Ruh Allah walaupun Maryam dan Yusuf belum melakukan hubungan sebagai suami istri.",Kelahiran Isa Al-Masih
Matius,1,19,Matius 1:19,"Karena Yusuf, tunangannya, adalah orang yang bertakwa dan berakhlak serta tidak berniat mempermalukan Maryam, maka ia bermaksud memutuskan hubungannya dengan Maryam secara diam-diam.",
Matius,1,20,Matius 1:20,"Tetapi, sementara ia memikirkan hal itu, malaikat Tuhan memperlihatkan diri kepadanya dalam mimpi. Malaikat itu berkata, “Hai Yusuf, anak Daud, janganlah engkau takut menerima Maryam sebagai istrimu karena anak yang ada dalam kandungannya itu berasal dari Ruh Allah.",
Matius,1,21,Matius 1:21,Ia akan melahirkan seorang anak laki-laki dan engkau harus menamai-Nya Isa karena Dialah yang akan menyelamatkan umat-Nya dari dosa-dosa mereka.”,
Matius,1,22,Matius 1:22,"Semua itu terjadi supaya genaplah firman yang telah disampaikan Tuhan melalui nabi-Nya,",
Matius,1,23,Matius 1:23,"“Lihatlah! Seorang anak dara akan mengandung dan melahirkan seorang anak laki-laki. Orang akan menyebut-Nya Immanuel,” yang artinya, “Allah beserta kita.”",
Matius,1,24,Matius 1:24,"Yusuf terbangun dari tidurnya, lalu dilakukannya apa yang diperintahkan oleh malaikat Tuhan. Ia menerima Maryam sebagai istrinya.",
Matius,1,25,Matius 1:25,"Meskipun begitu, ia tetap tidak melakukan hubungan sebagai suami istri dengannya sampai Maryam melahirkan. Kemudian, setelah anak itu lahir, Yusuf menamai-Nya Isa.",
Matius,2,1,Matius 2:1,"Isa lahir di Baitlahim, wilayah Yudea, pada masa pemerintahan Raja Herodes. Lalu, datanglah beberapa orang majusi dari Timur ke Kota Yerusalem.",Orang-Orang Majusi dari Timur
Matius,2,2,Matius 2:2,"Mereka bertanya-tanya, “Di manakah raja bani Israil yang baru dilahirkan itu? Kami telah melihat bintang-Nya di Timur, dan kami datang untuk sujud di hadapan-Nya.”",
Matius,2,3,Matius 2:3,"Ketika hal itu didengar oleh Raja Herodes, terkejutlah ia dan juga semua orang yang tinggal di Kota Yerusalem.",
Matius,2,4,Matius 2:4,"Karena itu, Herodes mengumpulkan semua imam kepala dan para ahli Kitab Suci Taurat bani Israil. Lalu, ia menanyakan kepada mereka di mana Al-Masih dilahirkan.",
Matius,2,5,Matius 2:5,"Jawab mereka, “Di Baitlahim, kota di wilayah Yudea. Karena demikianlah telah dikatakan dalam tulisan nabi,",
Matius,2,6,Matius 2:6,"‘Hai Baitlahim, kota di wilayah Yuda, engkau sekali-kali bukanlah yang terkecil dari antara mereka yang memerintah di Yuda. Karena dari padamu akan muncul seorang pemimpin yang akan menggembalakan umat-Ku Israil.’”",
Matius,2,7,Matius 2:7,"Setelah itu, Herodes memanggil orang-orang majusi itu secara diam-diam. Dimintanya keterangan yang rinci dari mereka kapan bintang itu mulai kelihatan.",
