Book,Chapter,Verse,Ref,Indonesian,Subheading
Yahya,1,1,Yahya 1:1,"Kalam telah ada dari mulanya. Kalam itu bersama Allah, dan Kalam itu adalah Allah.",Kalam yang Telah Menjadi Manusia
Yahya,1,2,Yahya 1:2,Sejak semula Kalam itu bersama Allah.,
Yahya,1,3,Yahya 1:3,"Segala sesuatu dijadikan oleh-Nya dan dari segala yang ada, tidak ada sesuatu pun yang dijadikan tanpa Dia.",
Yahya,1,4,Yahya 1:4,"Hidup itu ada di dalam Dia, dan hidup itu adalah terang manusia.",
Yahya,1,5,Yahya 1:5,Terang itu bercahaya di dalam kegelapan dan kegelapan tidak dapat mengalahkannya.,
Yahya,1,6,Yahya 1:6,Ada seorang utusan Allah bernama Yahya.,
Yahya,1,7,Yahya 1:7,Ia datang untuk memberi kesaksian mengenai terang itu supaya melalui kehadirannya semua orang dapat percaya.,
Yahya,1,8,Yahya 1:8,"Ia bukan terang itu, tetapi ia harus memberi kesaksian mengenai terang itu.",
Yahya,1,9,Yahya 1:9,"Terang yang benar, yang menerangi setiap orang, datang ke dalam dunia.",
Yahya,1,10,Yahya 1:10,"Ia ada di dalam dunia, bahkan dunia ini dijadikan oleh-Nya, tetapi dunia tidak mengenal-Nya.",
Yahya,1,11,Yahya 1:11,"Ia datang kepada milik-Nya sendiri, tetapi orang-orang milik-Nya itu tidak menerima-Nya.",
Yahya,1,12,Yahya 1:12,"Tetapi, orang-orang yang menerima-Nya diberi-Nya hak untuk menjadi anak-anak Allah, yaitu mereka yang percaya kepada nama-Nya.",
Yahya,1,13,Yahya 1:13,"Kelahiran mereka bukan dari darah, bukan dari keinginan daging, dan bukan dari keinginan seorang laki-laki, melainkan dari Allah.",
Yahya,1,14,Yahya 1:14,"Kalam itu telah menjadi manusia, lalu tinggal di antara kita, dan kita telah melihat kemuliaan-Nya, yaitu kemuliaan yang diterima-Nya sebagai Sang Anak Tunggal yang datang dari Sang Bapa, penuh dengan anugerah dan kebenaran.",
Yahya,1,15,Yahya 1:15,"Nabi Yahya pun memberi kesaksian tentang Dia, katanya, “Inilah orang yang kukatakan, ‘Dia, yang datang kemudian setelah aku, melebihi aku karena Dia sudah ada lebih dahulu sebelum aku.’”",
Yahya,1,16,Yahya 1:16,"Dari kelimpahan-Nya, kita semua sudah menerima anugerah demi anugerah.",
Yahya,1,17,Yahya 1:17,"Karena hukum Taurat, yaitu hukum yang terdapat dalam Kitab Suci Taurat, disampaikan melalui Nabi Musa, tetapi anugerah dan kebenaran datang melalui Isa Al-Masih.",
Yahya,1,18,Yahya 1:18,"Tak seorang pun pernah melihat Allah; Sang Anak Tunggal, yang ada di pangkuan Sang Bapa, Dialah yang telah menyatakan-Nya.",
Yahya,1,19,Yahya 1:19,"Inilah kesaksian Yahya pada waktu orang-orang Israil dari Yerusalem mengutus beberapa imam dan orang Lewi untuk bertanya kepadanya, “Siapakah engkau?”",Kesaksian Nabi Yahya tentang Dirinya Sendiri
Yahya,1,20,Yahya 1:20,"Ia mengaku dan tidak menyangkal, demikian pengakuannya, “Aku bukanlah Al-Masih.”",
Yahya,1,21,Yahya 1:21,"Mereka bertanya kepadanya, “Kalau begitu, siapakah engkau? Nabi Ilyaskah?” Jawabnya, “Bukan!” “Engkaukah nabi yang akan datang?” Jawabnya, “Bukan!”",
Yahya,1,22,Yahya 1:22,"Lalu, kata mereka kepadanya, “Siapakah engkau? Kami harus memberikan jawaban kepada orang-orang yang mengutus kami. Apa katamu tentang dirimu sendiri?”",
Yahya,1,23,Yahya 1:23,"Kata Yahya, “Akulah orang yang menyeru-nyerukan suaraku di padang belantara, ‘Luruskanlah jalan bagi Tuhan,’ seperti telah disampaikan melalui Nabi Yesaya.”",
Yahya,1,24,Yahya 1:24,Di antara mereka ada pula beberapa orang utusan dari mazhab Farisi.,
Yahya,1,25,Yahya 1:25,"Mereka bertanya kepadanya, “Jika engkau bukan Al-Masih, bukan Ilyas, dan juga bukan nabi yang akan datang, mengapa engkau mempermandikan orang?”",
Yahya,1,26,Yahya 1:26,"Jawab Yahya kepada mereka, “Aku mempermandikan dengan air. Tetapi, di antaramu berdiri Dia, yang datang setelah aku, dan yang tidak kamu kenal.",
Yahya,1,27,Yahya 1:27,Aku sendiri pun tidak layak untuk membuka tali kasut-Nya.”,
Yahya,1,28,Yahya 1:28,"Hal itu terjadi di Baitani, di seberang Sungai Yordan, tempat Yahya mempermandikan orang.",
Yahya,1,29,Yahya 1:29,"Esoknya, Yahya melihat Isa datang kepadanya. Lalu, Yahya berkata, “Lihatlah, Anak Domba Allah yang mengangkat dosa dunia.",Nabi Yahya Menunjuk kepada Isa
Yahya,1,30,Yahya 1:30,"Dialah yang kumaksudkan ketika aku berkata, ‘Setelah aku akan datang seseorang yang melebihi aku karena Ia sudah ada lebih dahulu sebelum aku.’",
Yahya,1,31,Yahya 1:31,"Sebelumnya, aku pun tidak mengenal-Nya, tetapi untuk itulah aku datang dan mempermandikan dengan air supaya Ia dinyatakan kepada Israil.”",
Yahya,1,32,Yahya 1:32,"Yahya pun memberi kesaksian, katanya, “Aku telah melihat Ruh Allah turun dari surga seperti burung merpati dan berdiam di atas-Nya.",
Yahya,1,33,Yahya 1:33,"Sebelumnya, aku sendiri pun tidak mengenal-Nya, tetapi Dia, yang menyuruh aku supaya aku mempermandikan dengan air, telah bersabda kepadaku, ‘Apabila engkau melihat Ruh Allah turun ke atas seseorang dan berdiam di atas-Nya, Dia itulah yang akan mempermandikan dengan Ruh Allah Yang Mahasuci.’",
Yahya,1,34,Yahya 1:34,Sekarang aku sudah melihat-Nya dan aku pun memberi kesaksian bahwa Dialah Sang Anak yang datang dari Allah.”,
Yahya,1,35,Yahya 1:35,"Esoknya, ketika Yahya sedang berdiri bersama kedua pengikutnya,",Pengikut-Pengikut Isa yang Pertama
Yahya,1,36,Yahya 1:36,"dilihatnya Isa lewat. Lalu, katanya, “Lihat, Anak Domba Allah!”",
Yahya,1,37,Yahya 1:37,"Mendengar ia berkata begitu, pergilah kedua pengikutnya itu mengikuti Isa.",
Yahya,1,38,Yahya 1:38,"Isa berpaling, lalu melihat mereka yang sedang mengikuti-Nya. Sabda-Nya kepada mereka, “Apa yang kamu cari?” Kata mereka kepada-Nya, “Rabi (artinya: Guru), di manakah Engkau tinggal?”",
Yahya,1,39,Yahya 1:39,"Sabda-Nya kepada mereka, “Marilah dan lihatlah.” Keduanya pun pergi dan melihat tempat tinggal-Nya. Kemudian, pada hari itu mereka tinggal bersama-Nya. Waktu itu kira-kira jam yang kesepuluh.",
Yahya,1,40,Yahya 1:40,"Andreas, saudara Simon Petrus, adalah salah satu dari kedua orang yang mendengar perkataan Yahya, lalu mengikut Isa.",
Yahya,1,41,Yahya 1:41,"Mula-mula ia menemui Simon, saudaranya, dan kepadanya ia berkata, “Kami telah bertemu dengan Mesias (artinya: Al-Masih).”",
Yahya,1,42,Yahya 1:42,"Kemudian, dibawanya Simon kepada Isa. Isa memandang Simon, lalu bersabda, “Simon bin Yahya, engkau akan dinamai Kefas (artinya: Petrus).”",
Yahya,1,43,Yahya 1:43,"Esoknya, ketika Isa hendak pergi ke Galilea, Ia bertemu dengan Filipus. Lalu, sabda Isa kepadanya, “Ikutlah Aku!”",
Yahya,1,44,Yahya 1:44,"Filipus berasal dari Baitsaida, satu kota dengan Andreas dan Petrus.",
Yahya,1,45,Yahya 1:45,"Kemudian, Filipus menemui Natanael dan berkata kepadanya, “Kami sudah bertemu dengan Dia yang dituliskan oleh Musa dalam Kitab Suci Taurat dan juga nabi-nabi, yaitu Isa bin Yusuf dari Nazaret.”",
Yahya,1,46,Yahya 1:46,"Kata Natanael kepadanya, “Dapatkah sesuatu yang baik datang dari Nazaret?” Kata Filipus kepadanya, “Marilah dan lihatlah.”",
Yahya,1,47,Yahya 1:47,"Ketika Isa melihat Natanael datang, bersabdalah Isa mengenai dia, “Lihat, dialah orang Israil sejati, padanya tidak terdapat tipu daya!”",
Yahya,1,48,Yahya 1:48,"Kata Natanael kepada-Nya, “Bagaimana Guru mengenal aku?” Sabda Isa kepadanya, “Sebelum Filipus memanggilmu, Aku sudah melihat engkau di bawah pohon ara itu.”",
Yahya,1,49,Yahya 1:49,"Kata Natanael kepada-Nya, “Ya Guru, Engkaulah Sang Anak yang datang dari Allah, Raja Israil.”",
Yahya,1,50,Yahya 1:50,"Sabda Isa kepadanya, “Apakah engkau percaya karena Aku berkata kepadamu bahwa Aku sudah melihat engkau di bawah pohon ara? Engkau akan melihat hal-hal yang lebih besar daripada itu.”",
Yahya,1,51,Yahya 1:51,"Sabda Isa pula kepadanya, “Sesungguhnya, Aku berkata kepadamu, kamu akan melihat langit terbuka dan malaikat-malaikat Allah naik turun di atas Anak Manusia.”",
Yahya,2,1,Yahya 2:1,"Pada hari yang ketiga ada pernikahan di Kota Kana, di wilayah Galilea, dan ibu Isa ada di situ.",Pernikahan di Kana
Yahya,2,2,Yahya 2:2,Isa dan para pengikut-Nya diundang juga ke pernikahan itu.,
Yahya,2,3,Yahya 2:3,"Ketika air anggur kurang, ibu Isa berkata kepada-Nya, “Mereka kehabisan anggur.”",
Yahya,2,4,Yahya 2:4,"Sabda Isa kepadanya, “Wahai Ibu, janganlah Ibu menyuruh Aku. Waktu-Ku belum tiba.”",
Yahya,2,5,Yahya 2:5,"Kata ibu Isa kepada para pelayan, “Lakukanlah apa yang dikatakan-Nya kepadamu.”",
Yahya,2,6,Yahya 2:6,Di situ ada enam buah tempayan yang disediakan untuk pembasuhan menurut adat bani Israil. Tiap-tiap tempayan dapat memuat kira-kira seratus liter air.,
Yahya,2,7,Yahya 2:7,"Sabda Isa kepada para pelayan itu, “Isilah tempayan-tempayan ini dengan air.” Lalu, mereka mengisi tempayan-tempayan itu dengan air sampai penuh.",
Yahya,2,8,Yahya 2:8,"Kemudian, sabda-Nya kepada mereka, “Sekarang ambillah sedikit dan bawalah kepada pemimpin perjamuan.” Lalu, mereka pun membawanya.",
Yahya,2,9,Yahya 2:9,"Setelah pemimpin perjamuan mengecap air yang telah dijadikan air anggur itu, ia pun memanggil mempelai laki-laki. Ia tidak tahu dari mana air anggur itu berasal, tetapi para pelayan yang mengambil dan membawa air itu tahu.",
Yahya,2,10,Yahya 2:10,"Lalu, katanya kepada mempelai laki-laki itu, “Semua orang menghidangkan air anggur yang baik lebih dahulu dan apabila orang sudah puas minum, barulah dihidangkan yang kurang baik. Tetapi, engkau menyimpan anggur yang baik sampai sekarang.”",
Yahya,2,11,Yahya 2:11,"Hal itu dilakukan Isa di Kota Kana, wilayah Galilea, sebagai permulaan dari tanda-tanda ajaib-Nya. Melalui hal itu, Ia telah menyatakan kemuliaan-Nya, dan para pengikut-Nya pun menjadi percaya kepada-Nya.",
Yahya,2,12,Yahya 2:12,"Sesudah itu, Isa pergi ke Kapernaum bersama-sama dengan ibu-Nya, saudara-saudara-Nya, dan para pengikut-Nya. Mereka tinggal di sana selama beberapa hari saja.",Isa di Kapernaum
Yahya,2,13,Yahya 2:13,"Ketika hari raya Paskah bani Israil hampir tiba, Isa pergi ke Yerusalem.",Isa Menyucikan Bait Allah
Yahya,2,14,Yahya 2:14,"Di Bait Allah didapati-Nya beberapa orang yang sedang menjual lembu, domba, dan merpati. Beberapa penukar uang pun sedang duduk di situ.",
Yahya,2,15,Yahya 2:15,"Lalu, Ia membuat cemeti dari tali dan menghalau mereka semua dari Bait Allah itu bersama-sama dengan domba dan lembu mereka. Ia juga menyerakkan uang milik para penukar uang itu dan menjungkirbalikkan meja-meja mereka.",
Yahya,2,16,Yahya 2:16,"Kemudian, sabda-Nya kepada mereka yang menjual burung merpati, “Bawa pergi semua ini, jangan kamu jadikan rumah Bapa-Ku sebagai tempat berjualan.”",
Yahya,2,17,Yahya 2:17,"Teringatlah para pengikut-Nya bahwa telah tertulis, “Cinta terhadap bait-Mu membakar hati-Ku.”",
Yahya,2,18,Yahya 2:18,"Jawab orang-orang Israil itu kepada-Nya, “Tanda ajaib apakah yang dapat Engkau tunjukkan kepada kami bahwa Engkau berhak berbuat demikian?”",
Yahya,2,19,Yahya 2:19,"Sabda Isa kepada mereka, “Runtuhkanlah Bait Allah ini dan Aku akan membangunnya kembali dalam tiga hari.”",
Yahya,2,20,Yahya 2:20,"Lalu, kata orang-orang Israil itu, “Empat puluh enam tahun lamanya Bait Allah ini dibangun, dan Engkau akan membangunnya dalam tiga hari?”",
Yahya,2,21,Yahya 2:21,"Namun, Bait Allah yang dimaksudkan oleh Isa adalah tubuh-Nya sendiri.",
Yahya,2,22,Yahya 2:22,"Setelah Isa hidup kembali dari antara orang mati, barulah para pengikut-Nya ingat bahwa Ia telah bersabda demikian. Lalu, mereka pun percaya pada Kitab Suci dan pada apa yang disabdakan Isa.",
Yahya,2,23,Yahya 2:23,"Ketika Isa ada di Yerusalem, yaitu selama hari raya Paskah, banyak orang yang menjadi percaya dalam nama-Nya sebab mereka melihat semua tanda ajaib yang diadakan-Nya.",
Yahya,2,24,Yahya 2:24,"Tetapi, Isa sendiri tidak mempercayakan diri-Nya kepada mereka sebab Ia mengenal mereka semua,",
Yahya,2,25,Yahya 2:25,dan Ia tidak membutuhkan seorang pun untuk memberi kesaksian tentang manusia karena Ia tahu apa yang ada di dalam hati manusia.,
Yahya,3,1,Yahya 3:1,"Ada seorang dari mazhab Farisi bernama Nikodemus, pemimpin bani Israil.",Percakapan dengan Nikodemus
Yahya,3,2,Yahya 3:2,"Pada malam hari ia datang kepada Isa, lalu berkata kepada-Nya, “Guru, kami tahu bahwa Engkau adalah guru yang datang dari Allah karena tak seorang pun dapat mengadakan tanda-tanda ajaib seperti yang Engkau lakukan jika Allah tidak menyertainya.”",
Yahya,3,3,Yahya 3:3,"Sabda Isa kepadanya, “Sesungguhnya, Aku berkata kepadamu, jikalau seseorang tidak dilahirkan kembali, ia tidak dapat melihat Kerajaan Allah.”",
Yahya,3,4,Yahya 3:4,"Kata Nikodemus kepada-Nya, “Bagaimana mungkin seseorang dilahirkan kembali pada masa tuanya? Dapatkah ia masuk untuk kedua kalinya ke dalam rahim ibunya, lalu dilahirkan kembali?”",
Yahya,3,5,Yahya 3:5,"Sabda Isa, “Sesungguhnya, Aku berkata kepadamu, jikalau seseorang tidak dilahirkan dari air dan Ruh, ia tidak dapat masuk ke dalam Kerajaan Allah.",
Yahya,3,6,Yahya 3:6,"Apa yang dilahirkan dari daging adalah daging, dan apa yang dilahirkan dari Ruh adalah ruh.",
Yahya,3,7,Yahya 3:7,Jangan engkau heran kalau Aku berkata kepadamu bahwa engkau harus dilahirkan kembali.,
Yahya,3,8,Yahya 3:8,"Angin bertiup ke mana dikehendakinya dan engkau mendengar bunyinya, tetapi engkau tidak tahu dari mana datangnya dan ke mana perginya. Demikianlah halnya dengan tiap-tiap orang yang lahir dari Ruh.”",
Yahya,3,9,Yahya 3:9,"Jawab Nikodemus kepada-Nya, “Bagaimana hal itu dapat terjadi?”",
Yahya,3,10,Yahya 3:10,"Sabda Isa kepadanya, “Engkau pengajar orang Israil. Tidakkah engkau mengerti hal-hal itu?",
Yahya,3,11,Yahya 3:11,"Sesungguhnya, Aku berkata kepadamu, kami berbicara tentang apa yang kami ketahui, dan kami memberi kesaksian tentang apa yang telah kami lihat, tetapi kamu tidak menerima kesaksian kami.",
Yahya,3,12,Yahya 3:12,"Jika kamu tidak percaya ketika Aku berbicara tentang hal-hal duniawi, bagaimana kamu dapat percaya jika Aku berbicara tentang hal-hal surgawi?",
Yahya,3,13,Yahya 3:13,"Belum pernah ada seorang pun yang naik ke surga, selain Dia yang telah turun dari surga, yaitu Anak Manusia.",
Yahya,3,14,Yahya 3:14,"Sama seperti Musa meninggikan ular tembaga di padang belantara, begitu jugalah Anak Manusia harus ditinggikan",
Yahya,3,15,Yahya 3:15,supaya setiap orang yang percaya memperoleh hidup yang kekal.,
Yahya,3,16,Yahya 3:16,"Allah begitu mengasihi dunia ini sehingga Ia menganugerahkan Sang Anak yang tunggal itu supaya setiap orang yang percaya kepada Sang Anak tidak binasa, melainkan memperoleh hidup yang kekal.",
Yahya,3,17,Yahya 3:17,"Sebab Allah mengutus Sang Anak ke dalam dunia ini bukan untuk menghakimi dunia, melainkan supaya melalui Dia, dunia ini diselamatkan.",
Yahya,3,18,Yahya 3:18,"Orang yang percaya kepada-Nya tidak akan dihukum, tetapi orang yang tidak percaya telah berada di bawah hukuman sebab ia tidak percaya dalam nama Sang Anak Tunggal yang datang dari Allah itu.",
Yahya,3,19,Yahya 3:19,"Inilah hukuman itu: Terang telah datang ke dalam dunia, tetapi manusia lebih menyukai kegelapan daripada terang itu sebab perbuatan-perbuatan mereka jahat.",
Yahya,3,20,Yahya 3:20,Setiap orang yang berbuat jahat membenci terang dan menghindar dari terang itu supaya perbuatan-perbuatannya tidak kelihatan.,
Yahya,3,21,Yahya 3:21,"Tetapi, orang yang berbuat benar datang kepada terang itu supaya menjadi nyata bahwa perbuatan-perbuatannya dilakukan di dalam Allah.”",
Yahya,3,22,Yahya 3:22,"Setelah itu, Isa dan para pengikut-Nya pergi ke wilayah Yudea. Lalu, tinggallah Ia di sana bersama mereka sambil mempermandikan para petobat.",Kesaksian Nabi Yahya tentang Isa
Yahya,3,23,Yahya 3:23,"Yahya pun mempermandikan para petobat di Ainon, dekat Salim, karena di situ banyak air. Orang-orang berdatangan untuk dipermandikan olehnya.",
Yahya,3,24,Yahya 3:24,"Pada waktu itu, Yahya belum dipenjarakan.",
Yahya,3,25,Yahya 3:25,"Lalu, terjadilah perselisihan di antara para pengikut Yahya dengan seorang Israil tentang tata cara pembasuhan.",
Yahya,3,26,Yahya 3:26,"Mereka pun datang menemui Yahya dan berkata, “Guru, orang yang bersama-sama dengan Guru di seberang Sungai Yordan, yaitu yang Guru ceritakan dahulu, Ia mempermandikan para petobat juga dan semua orang datang kepada-Nya.”",
Yahya,3,27,Yahya 3:27,"Jawab Yahya, “Orang tidak akan menerima sesuatu jika hal itu tidak diberikan kepadanya dari surga.",
Yahya,3,28,Yahya 3:28,"Kamu sendiri bersaksi bahwa aku telah berkata, ‘Aku bukanlah Al-Masih, tetapi aku diutus untuk mendahului-Nya.’",
Yahya,3,29,Yahya 3:29,"Orang yang mendapatkan mempelai perempuan adalah mempelai laki-laki. Sedangkan sahabat mempelai laki-laki, yang berdiri di dekatnya dan mendengarkannya, sangat gembira mendengar suara mempelai laki-laki itu. Begitulah halnya dengan aku, dan sekarang lengkaplah kegembiraanku.",
Yahya,3,30,Yahya 3:30,"Ia harus semakin bertambah, tetapi aku harus semakin berkurang.",
