Book,Chapter,Verse,Ref,Indonesian,Subheading
Bilangan,1,1,Bilangan 1:1,"Pada hari pertama di bulan kedua, dalam tahun kedua setelah orang Israil keluar dari Tanah Mesir, ALLAH berfirman kepada Musa dalam Kemah Hadirat Allah di Padang Belantara Sinai demikian,",Laskar Israil Dihitung
Bilangan,1,2,Bilangan 1:2,“Adakanlah cacah jiwa atas seluruh umat bani Israil menurut kaum dan keluarga mereka. Catatlah satu demi satu nama semua laki-laki,
Bilangan,1,3,Bilangan 1:3,di Israil yang berumur dua puluh tahun ke atas dan sanggup berperang. Engkau dan Harun harus menghitung mereka menurut pasukannya masing-masing.,
Bilangan,1,4,Bilangan 1:4,"Dari tiap-tiap suku harus ada satu orang yang menyertaimu, yaitu orang yang menjadi kepala kaum keluarganya.",
Bilangan,1,5,Bilangan 1:5,"Inilah nama orang-orang yang harus menyertaimu: Elizur bin Syedeur, dari suku Ruben;",
Bilangan,1,6,Bilangan 1:6,"Selumiel bin Zurisyadai, dari suku Simeon;",
Bilangan,1,7,Bilangan 1:7,"Nahason bin Aminadab, dari suku Yuda;",
Bilangan,1,8,Bilangan 1:8,"Netaneel bin Zuar, dari suku Isakhar;",
Bilangan,1,9,Bilangan 1:9,"Eliab bin Helon, dari suku Zebulon;",
Bilangan,1,10,Bilangan 1:10,"Elisama bin Amihud, dari suku Efraim, dan Gamaliel bin Pedazur, dari suku Manasye, keduanya keturunan Yusuf;",
Bilangan,1,11,Bilangan 1:11,"Abidan bin Gideoni, dari suku Binyamin;",
Bilangan,1,12,Bilangan 1:12,"Ahiezer bin Amisyadai, dari suku Dan;",
Bilangan,1,13,Bilangan 1:13,"Pagiel bin Okhran, dari suku Asyer;",
Bilangan,1,14,Bilangan 1:14,"Elyasaf bin Rehuel, dari suku Gad;",
Bilangan,1,15,Bilangan 1:15,"Ahira bin Enan, dari suku Naftali.”",
Bilangan,1,16,Bilangan 1:16,"Itulah orang-orang yang dipilih dari umat, yaitu para pemimpin suku bapak leluhurnya. Merekalah para kepala kaum bani Israil.",
Bilangan,1,17,Bilangan 1:17,"Maka, Musa dan Harun memanggil orang-orang yang ditunjuk dengan disebut namanya,",
