Book,Chapter,Verse,Ref,Indonesian,Subheading
Imamat,1,1,Imamat 1:1,"ALLAH memanggil Musa, lalu berfirman kepadanya dari dalam Kemah Hadirat Allah demikian,",Kurban Bakaran
Imamat,1,2,Imamat 1:2,"“Berbicaralah kepada bani Israil dan katakanlah kepada mereka, ‘Jika seorang dari antara kamu hendak mempersembahkan sesuatu kepada ALLAH, maka persembahkanlah ternak, baik dari kawanan sapi atau dari kawanan kambing domba.",
Imamat,1,3,Imamat 1:3,"Jika persembahannya berupa kurban bakaran dari sapi, maka sapi itu haruslah seekor jantan yang tak bercacat. Ia harus mempersembahkannya di pintu Kemah Hadirat Allah supaya ALLAH berkenan menerimanya di hadirat-Nya.",
Imamat,1,4,Imamat 1:4,"Kemudian, ia harus meletakkan tangannya di atas kepala kurban bakaran itu maka persembahan itu akan diterima demi pendamaian dirinya dengan Allah.",
Imamat,1,5,Imamat 1:5,"Selanjutnya, ia harus menyembelih sapi muda itu di hadirat ALLAH, kemudian anak-anak Harun, yaitu para imam, harus mempersembahkan darah sapi muda itu dan memercikkannya ke sekeliling mazbah, atau tempat pembakaran kurban, di depan pintu Kemah Hadirat Allah.",
Imamat,1,6,Imamat 1:6,Ia pun harus menguliti kurban bakaran itu dan memotongnya menjadi beberapa potongan.,
Imamat,1,7,Imamat 1:7,"Sementara itu, anak-anak Imam Harun harus menyalakan api di atas mazbah dan mengatur kayu di atas api itu.",
Imamat,1,8,Imamat 1:8,"Lalu, mereka, para imam itu, harus mengatur potongan-potongan kurban beserta kepala dan lemaknya di atas kayu yang terbakar api pada mazbah.",
Imamat,1,9,Imamat 1:9,"Isi perut dan kakinya harus dibasuhnya dengan air, lalu semua itu harus dibakar oleh imam di mazbah sebagai kurban bakaran, yaitu kurban yang dibakar, yang harum aromanya di hadirat ALLAH.",
Imamat,1,10,Imamat 1:10,"Jika persembahannya berupa kurban bakaran dari kawanan kambing domba, maka kambing atau domba itu haruslah seekor jantan yang tak bercacat.",
Imamat,1,11,Imamat 1:11,"Ia harus menyembelihnya di hadirat ALLAH, di sisi utara mazbah, dan anak-anak Harun, yaitu para imam, harus memercikkan darah hewan itu ke sekeliling mazbah.",
Imamat,1,12,Imamat 1:12,"Kemudian, ia harus memotongnya menjadi beberapa potongan. Bersama kepala serta lemaknya, semua potongan itu harus diatur oleh imam di atas kayu yang terbakar api pada mazbah.",
Imamat,1,13,Imamat 1:13,"Isi perut dan kakinya harus dibasuhnya dengan air, lalu imam harus mempersembahkan semua itu dan membakarnya di atas mazbah. Itulah kurban bakaran, yaitu kurban yang dibakar, yang harum aromanya di hadirat ALLAH.",
Imamat,1,14,Imamat 1:14,"Jika kurban yang dipersembahkannya kepada ALLAH berupa kurban bakaran dari burung, maka burung itu haruslah burung tekukur atau anak burung merpati.",
