Book,Chapter,Verse,Ref,Indonesian,Subheading
Kejadian,1,1,Kejadian 1:1,Pada mulanya Allah menciptakan langit dan bumi.,Allah Menciptakan Langit dan Bumi
Kejadian,1,2,Kejadian 1:2,"Bumi belum berbentuk dan kosong. Kegelapan meliputi permukaan samudera, dan Ruh Allah melayang-layang di atas permukaan air.",
Kejadian,1,3,Kejadian 1:3,"Berfirmanlah Allah, “Jadilah terang.” Lalu, terang pun jadi.",
Kejadian,1,4,Kejadian 1:4,"Allah melihat bahwa terang itu baik, lalu dipisahkan-Nya terang itu dari gelap.",
Kejadian,1,5,Kejadian 1:5,"Allah menamai terang itu “siang” dan gelap itu “malam”. Jadilah petang dan jadilah pagi, itulah hari pertama.",
Kejadian,1,6,Kejadian 1:6,"Berfirmanlah Allah, “Jadilah cakrawala di tengah-tengah segala air, dan hendaklah cakrawala itu memisahkan air dengan air.”",
Kejadian,1,7,Kejadian 1:7,"Maka, Allah menjadikan cakrawala serta memisahkan air yang ada di bawah cakrawala itu dengan air yang ada di atasnya. Lalu, jadilah demikian.",
Kejadian,1,8,Kejadian 1:8,"Allah menamai cakrawala itu “langit”. Jadilah petang dan jadilah pagi, itulah hari kedua.",
Kejadian,1,9,Kejadian 1:9,"Berfirmanlah Allah, “Hendaklah air yang ada di bawah langit berkumpul di suatu tempat, dan hendaklah tampak tempat yang kering.” Lalu, jadilah demikian.",
Kejadian,1,10,Kejadian 1:10,"Allah menamai tempat yang kering itu “tanah”, sedangkan kumpulan air itu dinamai-Nya “laut”. Allah melihat bahwa semua itu baik.",
Kejadian,1,11,Kejadian 1:11,"Berfirmanlah Allah, “Hendaklah tanah menumbuhkan rumput-rumput muda, tumbuh-tumbuhan berbiji, dan berbagai jenis pohon buah-buahan penghasil buah yang berbiji di atas bumi.” Lalu, jadilah demikian.",
Kejadian,1,12,Kejadian 1:12,"Tanah mengeluarkan rumput-rumput muda, berbagai jenis tumbuhan berbiji, dan berbagai jenis pohon buah-buahan penghasil buah yang berbiji. Allah melihat bahwa semua itu baik.",
Kejadian,1,13,Kejadian 1:13,"Jadilah petang dan jadilah pagi, itulah hari ketiga.",
Kejadian,1,14,Kejadian 1:14,"Berfirmanlah Allah, “Jadilah penerang-penerang di langit untuk memisahkan siang dari malam. Hendaklah semua itu menjadi tanda yang menentukan musim, hari, serta tahun,",
Kejadian,1,15,Kejadian 1:15,"dan hendaklah semua itu menjadi penerang di langit untuk menerangi bumi.” Lalu, jadilah demikian.",
Kejadian,1,16,Kejadian 1:16,"Allah menjadikan dua penerang yang besar, yaitu penerang yang lebih besar untuk menguasai siang dan penerang yang lebih kecil untuk menguasai malam. Ia pun membuat bintang-bintang.",
Kejadian,1,17,Kejadian 1:17,"Kemudian, Allah menempatkan semua itu di langit untuk menerangi bumi,",
Kejadian,1,18,Kejadian 1:18,"untuk menguasai siang dan malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa semua itu baik.",
Kejadian,1,19,Kejadian 1:19,"Jadilah petang dan jadilah pagi, itulah hari keempat.",
Kejadian,1,20,Kejadian 1:20,"Berfirmanlah Allah, “Hendaklah dalam air berkerumun makhluk-makhluk hidup, dan hendaklah burung-burung beterbangan di langit, di atas bumi.”",
Kejadian,1,21,Kejadian 1:21,"Maka, Allah menciptakan makhluk-makhluk laut yang besar dan segala jenis makhluk hidup yang bergerak serta berkerumun dalam air, demikian pula segala jenis burung yang bersayap. Allah melihat bahwa semua itu baik.",
Kejadian,1,22,Kejadian 1:22,"Kemudian, Allah memberkahi semua itu, firman-Nya, “Berkembangbiaklah dan bertambah banyak, serta penuhilah air di laut. Hendaklah burung-burung pun bertambah banyak di bumi.”",
Kejadian,1,23,Kejadian 1:23,"Jadilah petang dan jadilah pagi, itulah hari kelima.",
Kejadian,1,24,Kejadian 1:24,"Berfirmanlah Allah, “Hendaklah bumi mengeluarkan berbagai jenis makhluk hidup, yaitu ternak, binatang melata, dan berbagai jenis binatang liar.” Lalu, jadilah demikian.",
