Book,Chapter,Verse,Ref,Indonesian,Subheading
Keluaran,1,1,Keluaran 1:1,"Inilah nama anak-anak Israil yang datang ke Mesir bersama Yakub, masing-masing dengan keluarganya:",Bani Israil Ditindas di Mesir
Keluaran,1,2,Keluaran 1:2,"Ruben, Simeon, Lewi, Yuda,",
Keluaran,1,3,Keluaran 1:3,"Isakhar, Zebulon, Binyamin,",
Keluaran,1,4,Keluaran 1:4,"Dan, Naftali, Gad, dan Asyer.",
Keluaran,1,5,Keluaran 1:5,"Jumlah semua keturunan Yakub adalah tujuh puluh jiwa, tetapi Yusuf sudah berada di Mesir.",
Keluaran,1,6,Keluaran 1:6,"Kemudian, Yusuf meninggal, begitu pula semua saudaranya dan semua orang yang seangkatan dengannya.",
Keluaran,1,7,Keluaran 1:7,Bani Israil beranak cucu dan meningkat jumlahnya. Mereka bertambah banyak dan menjadi luar biasa kuatnya sehingga negeri itu mereka penuhi.,
Keluaran,1,8,Keluaran 1:8,"Kemudian, bertakhtalah di Mesir seorang raja baru yang tidak mengenal Yusuf.",
Keluaran,1,9,Keluaran 1:9,"Ia berkata kepada rakyatnya, “Lihatlah, rakyat bani Israil ini menjadi banyak dan lebih kuat daripada kita.",
Keluaran,1,10,Keluaran 1:10,"Mari kita cari akal bagaimana menyikapi mereka. Jika tidak, mereka akan bertambah banyak saja, dan jika terjadi perang mereka akan bergabung dengan orang-orang yang membenci kita, lalu berperang melawan kita dan pergi dari negeri ini.”",
Keluaran,1,11,Keluaran 1:11,"Sebab itu, orang-orang Mesir mengangkat kepala-kepala rodi atas bani Israil untuk menindas mereka dengan kerja paksa. Mereka membangun bagi Firaun kota-kota perbekalan, yaitu Pitom dan Raamses.",
Keluaran,1,12,Keluaran 1:12,"Tetapi, makin ditindas, makin bertambah banyak dan berkembanglah mereka sehingga orang Mesir menjadi takut kepada bani Israil.",
Keluaran,1,13,Keluaran 1:13,"Maka, dengan bengis orang Mesir memaksa bani Israil bekerja,",
Keluaran,1,14,Keluaran 1:14,"dan membuat getir hidup mereka dalam perhambaan yang berat. Mereka harus mengerjakan tanah liat dan batu bata serta semua pekerjaan di padang, yaitu semua pekerjaan yang dengan bengis dipaksakan kepada mereka.",
Keluaran,1,15,Keluaran 1:15,"Selain itu, raja Mesir juga berbicara kepada bidan-bidan orang Ibrani, yang seorang bernama Sifra dan yang lain bernama Pua,",
Keluaran,1,16,Keluaran 1:16,"katanya, “Ketika kamu membidani perempuan Ibrani, awasilah mereka di tempat persalinan. Jika anak yang mereka lahirkan laki-laki, maka kamu harus membunuh anak itu, tetapi jika anak itu perempuan, biarkan anak itu hidup.”",
Keluaran,1,17,Keluaran 1:17,"Namun, karena bidan-bidan itu bertakwa kepada Allah, mereka tidak bertindak sesuai dengan apa yang dikatakan raja Mesir kepada mereka. Mereka membiarkan hidup anak-anak laki-laki yang lahir.",
Keluaran,1,18,Keluaran 1:18,"Lalu, raja Mesir memanggil bidan-bidan itu dan bertanya kepada mereka, “Mengapa kamu melakukan hal ini, membiarkan hidup bayi-bayi laki-laki?”",
Keluaran,1,19,Keluaran 1:19,"Jawab bidan-bidan itu kepada Firaun, “Karena perempuan Ibrani tidak seperti perempuan Mesir. Mereka lebih kuat. Sebelum bidan datang, mereka sudah melahirkan.”",
Keluaran,1,20,Keluaran 1:20,"Maka, Allah berbuat baik terhadap bidan-bidan itu, dan bangsa itu bertambah banyak dan menjadi sangat kuat.",
Keluaran,1,21,Keluaran 1:21,"Selain itu, karena bidan-bidan itu bertakwa kepada Allah, Ia membangun rumah tangga mereka.",
Keluaran,1,22,Keluaran 1:22,"Lalu, Firaun memberi perintah kepada seluruh rakyatnya demikian, “Semua anak laki-laki yang lahir bagi orang Ibrani harus kamu buang ke Sungai Nil, tetapi semua anak perempuan boleh kamu biarkan hidup.”",
Keluaran,2,1,Keluaran 2:1,Ada seorang laki-laki dari kaum keturunan Lewi yang memperistri seorang perempuan suku Lewi.,Kelahiran Nabi Musa
Keluaran,2,2,Keluaran 2:2,"Perempuan itu kemudian mengandung, lalu melahirkan seorang anak laki-laki. Ketika ia melihat bahwa bayi itu elok, ia menyembunyikannya tiga bulan lamanya.",
Keluaran,2,3,Keluaran 2:3,"Akan tetapi, karena ia tidak dapat menyembunyikannya lebih lama lagi, diambilnya sebuah bakul dari daun papirus, dilapisinya dengan perekat kayu dan ter, lalu dibaringkannya anak itu di dalamnya. Kemudian, ia meletakkan bakul itu di tengah-tengah rumpun gelagah di tepi Sungai Nil.",
Keluaran,2,4,Keluaran 2:4,Kakak perempuan anak itu berdiri agak jauh dari situ untuk mengetahui apa yang akan terjadi dengan adiknya.,
