Book,Chapter,Verse,Ref,Indonesian,Subheading
Ulangan,1,1,Ulangan 1:1,"Inilah perkataan-perkataan yang disampaikan Musa kepada semua orang Israil di padang belantara seberang Sungai Yordan, yaitu di Araba. Araba terletak di seberang Suf, di antara Paran dan Tofel, Laban, Hazerot, serta Di-Zahab.",Nabi Musa Meriwayatkan Pengalaman di Gunung Horeb
Ulangan,1,2,Ulangan 1:2,Sebelas hari perjalanan jauhnya jarak dari Horeb sampai ke Kades-Barnea melalui jalan Pegunungan Seir.,
Ulangan,1,3,Ulangan 1:3,"Pada hari pertama di bulan kesebelas tahun keempat puluh, Musa mengatakan kepada bani Israil semua yang diperintahkan ALLAH untuk disampaikan kepada mereka.",
Ulangan,1,4,Ulangan 1:4,"Saat itu ia baru saja mengalahkan Sihon, raja orang Amori, yang tinggal di Hesbon, dan Og, raja Basan, yang tinggal di Astarot dekat Edrei.",
Ulangan,1,5,Ulangan 1:5,"Di seberang Sungai Yordan, di Tanah Moab, Musa mulai menjelaskan hukum Taurat ini. Katanya,",
Ulangan,1,6,Ulangan 1:6,"“ALLAH, Tuhan kita, berfirman kepada kita di Horeb, demikian, ‘Sudah cukup lama kamu tinggal di gunung ini.",
Ulangan,1,7,Ulangan 1:7,"Berbeloklah dan berangkatlah. Pergilah ke pegunungan orang Amori dan ke semua bangsa tetangga mereka di Araba, daerah pegunungan, daerah dataran rendah, Tanah Negeb, daerah tepi laut negeri orang Kanaan dan Libanon, sampai ke sungai besar, yaitu Sungai Efrat.",
Ulangan,1,8,Ulangan 1:8,"Ketahuilah, Aku telah menyerahkan negeri itu kepadamu. Masukilah dan dudukilah! Dengan bersumpah ALLAH telah berjanji kepada nenek moyangmu, yaitu Ibrahim, Ishak, dan Yakub bahwa Ia akan mengaruniakan negeri itu kepada mereka dan kepada keturunan mereka.’",
Ulangan,1,9,Ulangan 1:9,"Pada waktu itu aku berkata kepadamu, ‘Aku tak sanggup memikul tanggung jawab atas kamu seorang diri.",Riwayat Pengangkatan Hakim-Hakim
Ulangan,1,10,Ulangan 1:10,"ALLAH, Tuhanmu, telah melipatgandakanmu menjadi sangat banyak, dan sesungguhnya saat ini kamu sudah seperti bintang-bintang di langit banyaknya.",
Ulangan,1,11,Ulangan 1:11,"Kiranya ALLAH, Tuhan nenek moyangmu, menambahkan jumlahmu seribu kali lipat dan memberkahi kamu seperti yang dijanjikan-Nya kepadamu.",
Ulangan,1,12,Ulangan 1:12,"Akan tetapi, bagaimana mungkin aku dapat memikul tanggung jawab atas kesusahanmu, bebanmu, dan perselisihanmu seorang diri?",
Ulangan,1,13,Ulangan 1:13,"Ajukanlah dari suku-sukumu beberapa orang yang bijak, pandai, dan berpengalaman. Aku akan mengangkat mereka menjadi kepala atas kamu.’",
Ulangan,1,14,Ulangan 1:14,"Lalu, kamu menjawab aku, ‘Usul yang Tuan katakan itu baik untuk dilaksanakan.’",
Ulangan,1,15,Ulangan 1:15,"Sebab itu, aku mengambil kepala-kepala sukumu, orang-orang yang bijak dan berpengalaman, kemudian menetapkan mereka menjadi pemimpin atas kamu, yaitu pemimpin pasukan seribu, pemimpin pasukan seratus, pemimpin pasukan lima puluh, pemimpin pasukan sepuluh, juga sebagai pengatur pasukan bagi suku-sukumu.",
Ulangan,1,16,Ulangan 1:16,"Kepada para hakimmu pada waktu itu aku memberi perintah, ‘Dengarkanlah perkara-perkara yang ada di antara saudara-saudaramu dan putuskanlah hukum secara adil antara seseorang dengan saudaranya atau dengan pendatang yang tinggal bersamanya.",
Ulangan,1,17,Ulangan 1:17,"Dalam peradilan jangan pandang muka. Baik orang kecil maupun orang besar harus kamu dengarkan perkaranya. Jangan takut kepada manusia karena peradilan adalah milik Allah. Jika ada perkara yang terlalu berat untukmu, bawalah kepadaku supaya kudengar.’",
Ulangan,1,18,Ulangan 1:18,Demikianlah pada waktu itu aku memerintahkan kepadamu segala hal yang harus kamu lakukan.,
Ulangan,1,19,Ulangan 1:19,"Kemudian, kita berangkat dari Horeb dan berjalan melalui padang belantara yang luas dan menakutkan seperti telah kamu lihat ke arah pegunungan orang Amori sesuai dengan perintah ALLAH, Tuhan kita. Lalu, sampailah kita di Kades-Barnea.",Riwayat Kedua Belas Pengintai
Ulangan,1,20,Ulangan 1:20,"Kataku kepadamu, ‘Kamu telah sampai di pegunungan orang Amori yang telah dikaruniakan ALLAH, Tuhan kita, kepada kita.",
Ulangan,1,21,Ulangan 1:21,"Ketahuilah bahwa ALLAH, Tuhanmu, telah menyerahkan negeri itu kepadamu. Majulah dan dudukilah, seperti yang difirmankan ALLAH, Tuhan nenek moyangmu, kepadamu. Jangan takut dan jangan kecut hati.’",
Ulangan,1,22,Ulangan 1:22,"Kemudian, kamu semua datang mendekatiku dan berkata, ‘Mari kita utus beberapa orang mendahului kita untuk menyelidiki negeri itu bagi kita dan membawa kabar kepada kita mengenai jalan yang harus kita tempuh serta kota-kota yang akan kita datangi.’",
Ulangan,1,23,Ulangan 1:23,"Usul itu kupandang baik. Lalu, aku memilih dua belas orang dari antaramu, satu orang dari setiap suku.",
Ulangan,1,24,Ulangan 1:24,"Mereka pergi, naik ke pegunungan, lalu sampai di Lembah Eskol dan mulai menyelidiki negeri itu.",
Ulangan,1,25,Ulangan 1:25,"Mereka mengambil buah-buahan hasil negeri itu dan membawanya kepada kita. Mereka juga membawa kabar demikian, ‘Negeri yang dikaruniakan ALLAH, Tuhan kita, kepada kita itu baik.’",
Ulangan,1,26,Ulangan 1:26,"Namun, kamu tidak mau pergi ke sana. Kamu mendurhaka terhadap firman ALLAH, Tuhanmu.",
Ulangan,1,27,Ulangan 1:27,"Di dalam kemahmu kamu bersungut-sungut dan berkata, ‘Karena ALLAH membenci kita, maka Ia membawa kita keluar dari Mesir dan menyerahkan kita ke dalam tangan orang Amori supaya kita dibinasakan.",
Ulangan,1,28,Ulangan 1:28,"Ke mana kita akan pergi? Saudara-saudara kita telah membuat hati kita tawar dengan berkata, “Orang-orang di sana lebih besar dan lebih tinggi daripada kita! Kota-kotanya besar dan kubu-kubunya mencapai langit! Kami pun melihat bani Enak di sana.”’",
Ulangan,1,29,Ulangan 1:29,"Lalu, aku berkata kepadamu, ‘Jangan gentar dan jangan takut kepada mereka.",
Ulangan,1,30,Ulangan 1:30,"ALLAH, Tuhanmu, yang memimpin kamu, Dialah yang akan berperang untukmu seperti yang telah dilakukan-Nya bagimu di Mesir, di depan matamu sendiri.",
Ulangan,1,31,Ulangan 1:31,"Begitu juga di padang belantara. Di sana engkau telah melihat bagaimana ALLAH, Tuhanmu, mendukungmu di sepanjang jalan yang kamu tempuh seperti seseorang mendukung anaknya sampai kamu tiba di tempat ini.",
Ulangan,1,32,Ulangan 1:32,"Meskipun begitu, kamu tidak percaya kepada ALLAH, Tuhanmu,",
Ulangan,1,33,Ulangan 1:33,yang memimpin kamu di perjalanan dan mencarikan tempat bagimu untuk berkemah. Ia hadir dalam api di malam hari dan dalam awan di siang hari untuk menunjukkan kepadamu jalan yang harus kamu tempuh.’,
Ulangan,1,34,Ulangan 1:34,"Ketika ALLAH mendengar perkataanmu, Ia pun murka dan bersumpah demikian,",Riwayat Hukuman atas Bani Israil
Ulangan,1,35,Ulangan 1:35,"‘Tak seorang pun dari angkatan yang jahat ini akan melihat negeri yang baik, yang Kujanjikan dengan bersumpah kepada nenek moyangmu.",
Ulangan,1,36,Ulangan 1:36,Hanya Kaleb bin Yefune sajalah yang akan melihatnya. Kepadanya dan kepada anak-anaknya akan Kukaruniakan negeri yang telah dipijaknya itu karena ia mengikuti ALLAH dengan sepenuh hati.’,
Ulangan,1,37,Ulangan 1:37,"ALLAH juga murka kepadaku karena kamu. Firman-Nya, ‘Engkau pun tidak akan masuk ke sana,",
Ulangan,1,38,Ulangan 1:38,"melainkan Yusak bin Nun, pelayanmu, yang akan masuk ke sana. Kuatkanlah hatinya karena dialah yang akan memimpin orang Israil mewarisi negeri itu.",
Ulangan,1,39,Ulangan 1:39,"Sedangkan anak-anakmu yang kamu katakan akan menjadi tawanan, yaitu anak-anakmu yang sekarang ini belum tahu tentang yang baik dan yang jahat, merekalah yang akan masuk ke sana. Kepada merekalah akan Kukaruniakan negeri itu dan mereka akan memilikinya.",
Ulangan,1,40,Ulangan 1:40,"Tetapi, kamu ini, berbaliklah dan berangkatlah ke padang belantara, ke arah Laut Merah.’",
Ulangan,1,41,Ulangan 1:41,"Kemudian, jawabmu kepadaku, ‘Kami telah berdosa terhadap ALLAH. Kami hendak maju berperang sesuai dengan semua yang diperintahkan ALLAH, Tuhan kami, kepada kami.’ Lalu, kamu menyandang senjata perangmu masing-masing karena kamu pikir mudah naik ke pegunungan itu.",Riwayat Gagalnya Serangan ke Bagian Selatan
Ulangan,1,42,Ulangan 1:42,"Tetapi, ALLAH berfirman kepadaku, ‘Katakanlah kepada mereka, “Jangan maju dan jangan berperang karena Aku tidak hadir di antara kamu, nanti kamu terpukul kalah di depan musuh-musuhmu.”’",
Ulangan,1,43,Ulangan 1:43,"Maka, aku mengatakannya kepadamu, tetapi kamu tidak mau mendengar. Kamu mendurhaka terhadap firman ALLAH dan dengan sombongnya naik ke pegunungan itu.",
Ulangan,1,44,Ulangan 1:44,"Lalu, keluarlah orang Amori yang tinggal di pegunungan itu menghadapi kamu. Mereka mengejar kamu seperti kawanan lebah dan menghantam kamu dari Seir sampai ke Horma.",
Ulangan,1,45,Ulangan 1:45,"Maka, kembalilah kamu dan menangis di hadirat ALLAH, tetapi ALLAH tidak mendengarkan tangisanmu dan tidak memperhatikan kamu.",
Ulangan,1,46,Ulangan 1:46,"Setelah itu, cukup lama kamu tinggal di Kades.",
Ulangan,2,1,Ulangan 2:1,"Kemudian, kita berbalik dan berangkat ke padang belantara, ke arah Laut Merah, seperti yang difirmankan ALLAH kepadaku. Beberapa waktu lamanya kita mengelilingi Pegunungan Seir.",Riwayat Perjalanan di Padang Belantara
Ulangan,2,2,Ulangan 2:2,"Lalu, ALLAH berfirman kepadaku,",
Ulangan,2,3,Ulangan 2:3,"‘Sudah cukup lama kamu mengelilingi pegunungan ini. Sekarang, beloklah ke utara.",
Ulangan,2,4,Ulangan 2:4,"Berilah perintah kepada bangsa itu demikian, “Sekarang kamu akan melalui daerah saudara-saudaramu bani Esau, yang tinggal di Seir. Mereka akan merasa takut kepadamu, tetapi ingat baik-baik,",
Ulangan,2,5,Ulangan 2:5,jangan kautantang mereka. Aku tidak akan memberikan negeri mereka kepadamu barang setapak kaki pun karena Pegunungan Seir telah Kukaruniakan kepada Esau menjadi miliknya.,
Ulangan,2,6,Ulangan 2:6,Kamu harus membeli makanan dari mereka dengan uang supaya kamu dapat makan. Kamu juga harus membeli air dari mereka dengan uang supaya kamu dapat minum.”’,
Ulangan,2,7,Ulangan 2:7,"ALLAH, Tuhanmu, telah memberkahimu dalam segala yang dikerjakan tanganmu. Ia memperhatikan perjalananmu di padang belantara yang luas ini. Selama empat puluh tahun ini ALLAH, Tuhanmu, menyertai engkau dan engkau tidak kekurangan apa pun.",
Ulangan,2,8,Ulangan 2:8,"Maka, berjalanlah kita melewati saudara-saudara kita bani Esau yang tinggal di Seir, meninggalkan jalan dari Araba, yaitu dari Elat dan dari Ezion Geber. Kemudian, kita berbelok melalui jalan ke arah Padang Belantara Moab.",
Ulangan,2,9,Ulangan 2:9,"ALLAH pun berfirman kepadaku, ‘Jangan usik orang Moab dan jangan tantang mereka untuk berperang. Aku tidak akan memberikan negeri mereka kepadamu menjadi milikmu karena Ar telah Kukaruniakan kepada bani Lut menjadi miliknya.",
Ulangan,2,10,Ulangan 2:10,"(Dahulu orang Emim tinggal di sana. Mereka adalah bangsa yang besar, banyak jumlahnya, dan tinggi seperti orang Enak.",
Ulangan,2,11,Ulangan 2:11,"Mereka juga termasuk orang Refaim seperti orang Enak, tetapi orang Moab menyebut mereka orang Emim.",
Ulangan,2,12,Ulangan 2:12,"Orang Hori pun dahulu tinggal di Seir, tetapi bani Esau menghalau mereka. Bani Esau memunahkan mereka dari hadapannya, lalu tinggal di sana menggantikan mereka, seperti yang dilakukan orang Israil di negeri yang dikaruniakan ALLAH kepada mereka menjadi milik mereka.)",
Ulangan,2,13,Ulangan 2:13,"Sekarang, segeralah seberangi Sungai Zered.’ Maka, kita pun menyeberangi Sungai Zered.",
Ulangan,2,14,Ulangan 2:14,"Tiga puluh delapan tahun lamanya kita berjalan dari Kades-Barnea sampai ke seberang Sungai Zered, hingga seluruh angkatan para pejuang habis dari perkemahan, seperti yang difirmankan ALLAH kepada mereka dengan bersumpah.",
Ulangan,2,15,Ulangan 2:15,"Tangan ALLAH sendiri menentang mereka, mengacaukan mereka dari perkemahan sampai mereka habis.",
Ulangan,2,16,Ulangan 2:16,"Setelah semua pejuang habis mati dari antara bangsa itu,",
Ulangan,2,17,Ulangan 2:17,"ALLAH berfirman kepadaku,",
Ulangan,2,18,Ulangan 2:18,"‘Pada hari ini engkau akan melewati perbatasan Moab, yaitu Ar.",
Ulangan,2,19,Ulangan 2:19,"Ketika engkau berada dekat dengan bani Amon, jangan usik mereka dan jangan tantang mereka. Aku tidak akan memberikan negeri bani Amon kepadamu menjadi milikmu karena Aku telah mengaruniakannya kepada bani Lut menjadi miliknya.",
Ulangan,2,20,Ulangan 2:20,"(Negeri ini juga termasuk negeri orang Refaim. Dahulu orang Refaim tinggal di sana, tetapi orang Amon menyebut mereka orang Zamzumim.",
Ulangan,2,21,Ulangan 2:21,"Mereka adalah bangsa yang besar, banyak jumlahnya, dan tinggi seperti orang Enak. Akan tetapi, ALLAH memunahkan mereka dari hadapan orang Amon. Orang Amon menghalau mereka, lalu tinggal di sana menggantikan mereka.",
Ulangan,2,22,Ulangan 2:22,Begitu pulalah yang dilakukan Allah bagi bani Esau yang tinggal di Seir ketika ia memunahkan orang Hori dari hadapan mereka. Mereka menghalau orang Hori dan tinggal di sana menggantikan orang-orang itu sampai hari ini.,
Ulangan,2,23,Ulangan 2:23,"Demikian pula halnya dengan orang Awi yang tinggal di desa-desa sampai ke Gaza. Orang Kaftor, yang datang dari Kaftor, memunahkan mereka dan tinggal di sana menggantikan mereka.)",
Ulangan,2,24,Ulangan 2:24,"Segeralah berangkat dan seberangilah Sungai Arnon. Ketahuilah, Aku menyerahkan Sihon, raja Hesbon, orang Amori itu, beserta negerinya ke dalam tanganmu. Engkau harus mulai merebutnya. Tantanglah mereka untuk berperang.",
Ulangan,2,25,Ulangan 2:25,"Hari ini juga Aku mulai mendatangkan rasa gentar dan takut terhadap engkau atas bangsa-bangsa di seluruh kolong langit. Ketika mereka mendengar kabar tentang engkau, mereka akan gemetar dan ketakutan karena engkau.’",
Ulangan,2,26,Ulangan 2:26,"Kemudian, aku mengirimkan beberapa utusan dari Padang Belantara Kademot kepada Sihon, raja Hesbon, untuk menyampaikan pesan damai, demikian,","Riwayat Peperangan Melawan Sihon, Raja Hesbon"
Ulangan,2,27,Ulangan 2:27,‘Izinkanlah kami melewati negerimu. Kami hendak berjalan di jalan raya saja dan tidak akan menyimpang ke kanan atau pun ke kiri.,
Ulangan,2,28,Ulangan 2:28,"Juallah makanan kepada kami dengan bayaran uang supaya kami dapat makan, dan berilah kami air dengan bayaran uang supaya kami dapat minum. Hanya, izinkanlah kami lewat dengan berjalan kaki",
Ulangan,2,29,Ulangan 2:29,"sampai kami menyeberangi Sungai Yordan memasuki negeri yang dikaruniakan ALLAH, Tuhan kami, kepada kami. Begitulah bani Esau, yang tinggal di Seir, juga orang Moab, yang tinggal di Ar, memperlakukan kami.’",
Ulangan,2,30,Ulangan 2:30,"Tetapi, Sihon, raja Hesbon, tidak mau mengizinkan kita melewati negerinya karena ALLAH, Tuhanmu, telah mengeraskan hatinya dan menjadikan hatinya degil supaya ia diserahkan ke dalam tanganmu, seperti yang terjadi pada hari ini.",
Ulangan,2,31,Ulangan 2:31,"ALLAH berfirman kepadaku, ‘Ketahuilah, Aku mulai menyerahkan Sihon dan negerinya kepadamu. Kamu harus mulai menduduki negerinya supaya kamu dapat memilikinya.’",
Ulangan,2,32,Ulangan 2:32,"Lalu, keluarlah Sihon menghadapi kita beserta seluruh pasukannya untuk berperang di Yahas.",
Ulangan,2,33,Ulangan 2:33,"Tetapi, ALLAH, Tuhan kita, menyerahkan dia kepada kita sehingga kita mengalahkan dia, anak-anaknya, dan seluruh pasukannya.",
Ulangan,2,34,Ulangan 2:34,"Pada waktu itu kita merebut semua kotanya dan menumpas semua penduduknya, baik laki-laki, perempuan, maupun anak-anak. Tak seorang pun kita tinggalkan terluput.",
Ulangan,2,35,Ulangan 2:35,Hanya ternak saja yang kita rampas bagi kita beserta jarahan dari kota-kota yang kita rebut.,
Ulangan,2,36,Ulangan 2:36,"Mulai dari Aro’er yang terletak di Lembah Arnon dan juga kota di lembah itu sampai ke Gilead, tidak ada kota yang terlalu kuat bagi kita. ALLAH, Tuhan kita, menyerahkan semuanya kepada kita.",
Ulangan,2,37,Ulangan 2:37,"Hanya negeri bani Amon saja yang tidak kaudekati, yaitu seluruh tempat di tepi Sungai Yabok, kota-kota di pegunungan, dan semua tempat yang dilarang oleh ALLAH, Tuhan kita.",
Ulangan,3,1,Ulangan 3:1,"Setelah itu, kita berbalik dan maju ke arah Basan. Og, raja Basan, beserta seluruh pasukannya keluar menghadapi kita untuk berperang di Edrei.","Riwayat Peperangan Melawan Og, Raja Basan"
Ulangan,3,2,Ulangan 3:2,"Namun, ALLAH berfirman kepadaku, ‘Jangan takut kepadanya karena Aku telah menyerahkan dia ke dalam tanganmu juga seluruh pasukannya dan negerinya. Perlakukanlah dia seperti engkau memperlakukan Sihon, raja orang Amori, yang tinggal di Hesbon.’",
Ulangan,3,3,Ulangan 3:3,"Demikianlah ALLAH, Tuhan kita, menyerahkan Og raja Basan dan seluruh pasukannya ke dalam tangan kita. Kita mengalahkannya, tak seorang pun kita tinggalkan terluput.",
Ulangan,3,4,Ulangan 3:4,"Pada waktu itu kita merebut semua kotanya. Tidak ada kota yang tidak kita rebut dari mereka—enam puluh kota, yaitu seluruh kawasan Argob, kerajaan Og di Basan.",
Ulangan,3,5,Ulangan 3:5,"Semua kota itu berkubu, bertembok tinggi, berpintu gerbang, dan berpalang, di samping kota-kota tak bertembok yang sangat banyak jumlahnya.",
Ulangan,3,6,Ulangan 3:6,"Kita menumpas mereka seperti yang kita lakukan terhadap Sihon, raja Hesbon. Penduduk di setiap kota kita tumpas, baik laki-laki, perempuan, maupun anak-anak.",
Ulangan,3,7,Ulangan 3:7,"Tetapi, segala ternak dan jarahan dari kota-kota itu kita rampas bagi diri kita.",
Ulangan,3,8,Ulangan 3:8,"Demikianlah pada waktu itu kita merebut negeri itu dari tangan kedua raja orang Amori yang tinggal di seberang Sungai Yordan, dari Lembah Arnon sampai ke Gunung Hermon",
Ulangan,3,9,Ulangan 3:9,"(Hermon disebut Siryon oleh orang Sidon, tetapi orang Amori menyebutnya Senir),",
Ulangan,3,10,Ulangan 3:10,"semua kota di dataran tinggi, seluruh Gilead dan seluruh Basan sampai ke Salkha dan Edrei, yaitu kota-kota kerajaan Og di Basan.",
Ulangan,3,11,Ulangan 3:11,"(Hanya Og, raja Basan itu, yang masih tinggal hidup dari sisa-sisa orang Refaim. Bukankah tempat tidurnya, tempat tidur dari besi, masih tersimpan di Raba, kota bani Amon? Panjangnya sembilan hasta dan lebarnya hampir empat hasta, menurut hasta yang lazim.)",
Ulangan,3,12,Ulangan 3:12,"Setelah kita menduduki negeri itu pada waktu itu, wilayah dari Aro’er di Lembah Arnon beserta separuh Pegunungan Gilead dengan kota-kotanya kuberikan kepada bani Ruben dan bani Gad.",Riwayat Penyerahan Daerah Sebelah Timur Sungai Yordan
Ulangan,3,13,Ulangan 3:13,"Sedangkan wilayah Gilead yang selebihnya serta seluruh Basan, yaitu seluruh kawasan Argob, kerajaan Og, kuberikan kepada separuh suku Manasye. (Seluruh Basan itu disebut negeri orang Refaim.",
Ulangan,3,14,Ulangan 3:14,"Yair, keturunan Manasye, merebut seluruh kawasan Argob sampai ke perbatasan wilayah orang Gesur dan orang Maakha. Kemudian, dinamainya Basan itu Hawot-Yair, menurut namanya sendiri, sampai hari ini.)",
Ulangan,3,15,Ulangan 3:15,Kepada Makhir kuberikan Gilead.,
Ulangan,3,16,Ulangan 3:16,"Kepada bani Ruben dan bani Gad kuberikan wilayah dari Gilead sampai ke Lembah Arnon dengan bagian tengah lembah sebagai batasnya, lalu terus ke Sungai Yabok, batas daerah bani Amon;",
Ulangan,3,17,Ulangan 3:17,"demikian juga wilayah Araba dengan Sungai Yordan sebagai batasnya, dari Danau Kineret sampai ke Laut Araba, yaitu Laut Mati di kaki lereng Gunung Pisga ke arah timur.",
