Book,Chapter,Verse,Ref,Indonesian,Subheading
Zabur,1,1,Zabur 1:1,"Berbahagialah orang yang tidak berjalan menurut nasihat orang fasik, yang tidak berdiri di jalan orang berdosa, dan yang tidak duduk di tempat para pencemooh,",Jalan Orang Benar dan Orang Fasik
Zabur,1,2,Zabur 1:2,melainkan yang kesukaannya hukum ALLAH dan yang merenungkan hukum-Nya siang dan malam.,
Zabur,1,3,Zabur 1:3,"Ia seperti pohon yang tertanam di tepi aliran air, yang menghasilkan buahnya pada musimnya, dan yang daunnya tidak layu. Segala sesuatu yang dilakukannya berhasil.",
Zabur,1,4,Zabur 1:4,Tidak demikian orang fasik. Mereka seperti sekam yang diterbangkan angin.,
Zabur,1,5,Zabur 1:5,"Sebab itu, orang fasik tidak akan tahan dalam pengadilan, demikian pula orang berdosa dalam kumpulan orang benar.",
Zabur,1,6,Zabur 1:6,"ALLAH mengenal jalan orang benar, tetapi jalan orang fasik akan binasa.",
Zabur,2,1,Zabur 2:1,"Apa sebabnya bangsa-bangsa gempar, dan suku-suku bangsa merencanakan hal yang sia-sia?",Raja yang Dilantik Allah
Zabur,2,2,Zabur 2:2,"Raja-raja dunia ini bersiap diri, dan penguasa-penguasa bermufakat bersama-sama hendak melawan ALLAH serta raja yang dilantik-Nya. Kata mereka,",
Zabur,2,3,Zabur 2:3,“Mari kita putuskan ikatan-ikatan mereka dan membuang tali-tali mereka dari kita!”,
Zabur,2,4,Zabur 2:4,"Dia yang bertakhta di surga tertawa, Tuhan mengolok-olok mereka.",
Zabur,2,5,Zabur 2:5,"Pada waktu itu Ia akan berfirman kepada mereka dalam murka-Nya dan menggentarkan mereka dalam nyala amarah-Nya,",
Zabur,2,6,Zabur 2:6,"“Aku sudah melantik raja-Ku di Sion, gunung-Ku yang suci itu.”",
Zabur,2,7,Zabur 2:7,"Aku hendak mengumumkan ketetapan ALLAH. Ia telah berfirman kepadaku, “Engkaulah anak-Ku, pada hari ini Aku menjadikan engkau anak-Ku.",
Zabur,2,8,Zabur 2:8,Mintalah kepada-Ku maka Aku akan memberikan bangsa-bangsa menjadi milik pusakamu dan ujung-ujung bumi menjadi kepunyaanmu.,
Zabur,2,9,Zabur 2:9,Engkau akan menghancurkan mereka dengan tongkat besi dan memecahkan mereka seperti bejana tukang periuk.”,
Zabur,2,10,Zabur 2:10,"Oleh sebab itu, hai raja-raja, bertindaklah bijaksana! Terimalah didikan, hai hakim-hakim dunia!",
Zabur,2,11,Zabur 2:11,"Beribadahlah kepada ALLAH dalam ketakwaan, dan dalam kegentaran.",
Zabur,2,12,Zabur 2:12,Sembahlah Dia dengan tulus supaya jangan Ia murka dan kamu binasa di jalan karena murka-Nya dapat cepat sekali menyala. Berbahagialah semua yang berlindung pada-Nya.,
Zabur,3,1,Zabur 3:1,"Syair Daud ketika ia lari dari Absalom, anaknya. (3-2) Ya ALLAH, betapa banyaknya lawanku! Banyak yang bangkit melawan aku!",Nyanyian Pagi Menghadapi Musuh
Zabur,3,2,Zabur 3:2,"(3-3) Banyak yang berkata mengenai aku, “Tak ada pertolongan baginya di dalam Allah.” S e l a",
Zabur,3,3,Zabur 3:3,"(3-4) Tetapi, Engkau, ya ALLAH, perisai di depanku, kemuliaanku, dan yang mengangkat kepalaku.",
Zabur,3,4,Zabur 3:4,"(3-5) Aku berseru kepada ALLAH dengan nyaring, dan dari gunung suci-Nya Ia menjawab aku. S e l a",
Zabur,3,5,Zabur 3:5,"(3-6) Aku berbaring dan tertidur, lalu aku bangun karena ALLAH menopang aku.",
Zabur,3,6,Zabur 3:6,(3-7) Aku tidak takut terhadap puluhan ribu orang yang siap melawan aku dari segala arah.,
Zabur,3,7,Zabur 3:7,"(3-8) Ya ALLAH, bertindaklah kiranya. Ya Tuhanku, selamatkanlah aku. Engkau memukul rahang semua musuhku dan mematahkan gigi orang-orang fasik.",
Zabur,3,8,Zabur 3:8,(3-9) Keselamatan datang dari ALLAH; Berkah-Mu atas umat-Mu! S e l a,
Zabur,4,1,Zabur 4:1,"Untuk pemimpin pujian, dengan permainan kecapi. Syair Daud. (4-2) Ya Allah, yang membenarkan aku, jawablah kiranya aku ketika aku berseru. Engkau telah membuatku lega ketika aku dalam kesesakan. Kasihanilah aku dan dengarkanlah doaku!",Doa Malam Hari
Zabur,4,2,Zabur 4:2,"(4-3) Hai orang-orang, berapa lama lagi kamu mencemari kemuliaanku? Berapa lama lagi kamu menyukai hal yang sia-sia dan mencari kebohongan? S e l a",
Zabur,4,3,Zabur 4:3,"(4-4) Ketahuilah bahwa ALLAH telah mengkhususkan seorang yang saleh bagi diri-Nya, ALLAH akan mendengar ketika aku berseru kepada-Nya.",
Zabur,4,4,Zabur 4:4,"(4-5) Ketika engkau marah, janganlah berbuat dosa! Berkata-katalah dalam hatimu di tempat tidurmu, dan tetaplah berdiam diri. S e l a",
Zabur,4,5,Zabur 4:5,"(4-6) Persembahkanlah kurban sembelihan yang benar, dan percayalah kepada ALLAH.",
Zabur,4,6,Zabur 4:6,"(4-7) Banyak orang berkata, “Siapa akan menunjukkan yang baik kepada kita?” Ya ALLAH, biarlah cahaya wajah-Mu menyinari kami!",
Zabur,4,7,Zabur 4:7,(4-8) Engkau telah memberikan kegembiraan di dalam hatiku lebih daripada kegembiraan mereka ketika gandum dan air anggur berlimpah-limpah.,
Zabur,4,8,Zabur 4:8,"(4-9) Dengan sejahtera aku akan berbaring dan tertidur karena hanya Engkaulah, ya ALLAH, yang membuatku tinggal dengan aman.",
Zabur,5,1,Zabur 5:1,"Untuk pemimpin pujian, dengan permainan suling. Syair Daud. (5-2) Ya ALLAH, dengarkanlah kiranya perkataanku, perhatikanlah keluh-kesahku.",Doa Pagi Hari
Zabur,5,2,Zabur 5:2,"(5-3) Perhatikanlah seruanku meminta tolong, ya Rajaku dan Tuhanku, karena kepada-Mulah aku berdoa.",
Zabur,5,3,Zabur 5:3,"(5-4) Ya ALLAH, pada pagi hari Engkau mendengar seruanku, pada pagi hari aku mengatur persembahan bagi-Mu dan menunggu.",
Zabur,5,4,Zabur 5:4,(5-5) Engkau bukanlah Tuhan yang berkenan akan kefasikan. Orang jahat tidak dapat tinggal di hadirat-Mu.,
Zabur,5,5,Zabur 5:5,(5-6) Orang yang memegahkan diri tidak akan tahan di depan mata-Mu. Engkau membenci semua orang yang berbuat jahat.,
Zabur,5,6,Zabur 5:6,(5-7) Engkau membinasakan orang-orang yang berkata dusta. ALLAH memandang keji para penumpah darah serta penipu.,
Zabur,5,7,Zabur 5:7,"(5-8) Tetapi, aku, karena kasih abadi-Mu yang berlimpah, aku akan masuk ke dalam rumah-Mu, dan sujud menyembah ke arah Bait-Mu yang suci dengan bertakwa kepada-Mu.",
Zabur,5,8,Zabur 5:8,"(5-9) Ya ALLAH, pimpinlah aku dalam kebenaran-Mu oleh karena seteru-seteruku, luruskanlah jalan-Mu di hadapanku.",
Zabur,5,9,Zabur 5:9,"(5-10) Sesungguhnya, perkataan mereka tidak ada yang pasti, batin mereka penuh kehancuran. Kerongkongan mereka seperti kubur yang menganga, lidah mereka merayu-rayu.",
Zabur,5,10,Zabur 5:10,"(5-11) Ya Allah, nyatakanlah mereka bersalah, biarlah mereka jatuh oleh rancangan mereka sendiri! Halaulah mereka karena pelanggaran mereka banyak, sebab mereka telah mendurhaka terhadap-Mu.",
Zabur,5,11,Zabur 5:11,"(5-12) Tetapi, hendaklah semua orang yang berlindung pada-Mu bersukacita, dan biarlah mereka selalu bersorak-sorai! Naungilah mereka supaya orang-orang yang mengasihi nama-Mu dapat bersukaria karena Engkau.",
Zabur,5,12,Zabur 5:12,"(5-13) Engkau memberkahi orang benar, ya ALLAH, Engkau melindungi mereka dengan keridaan-Mu, seperti perisai.",
Zabur,6,1,Zabur 6:1,"Untuk pemimpin pujian, dengan permainan kecapi. Menurut lagu: Yang Kedelapan. Syair Daud. (6-2) Ya ALLAH, janganlah kiranya Kautegur aku dalam amarah-Mu, dan jangan hukum aku dalam murka-Mu.",Doa dalam Pergumulan
Zabur,6,2,Zabur 6:2,"(6-3) Kasihanilah aku, ya ALLAH, karena aku lemah. Sembuhkanlah aku, ya ALLAH, karena tulang-tulangku gemetar.",
Zabur,6,3,Zabur 6:3,"(6-4) Jiwaku pun sangat gentar. Ya ALLAH, berapa lama lagi?",
Zabur,6,4,Zabur 6:4,"(6-5) Ya ALLAH, kembalilah kiranya. Lepaskanlah jiwaku! Selamatkanlah aku karena kasih abadi-Mu.",
Zabur,6,5,Zabur 6:5,"(6-6) Dalam kematian tidak ada lagi kenangan akan Engkau, dan dalam alam kubur, siapakah yang akan mengucap syukur kepada-Mu?",
Zabur,6,6,Zabur 6:6,"(6-7) Aku penat dalam keluh-kesahku. Sepanjang malam kugenangi tempat tidurku dengan air mata, dan kubasahi alas tidurku.",
Zabur,6,7,Zabur 6:7,"(6-8) Mataku cekung karena dukacita, dan menjadi rabun karena semua lawanku.",
Zabur,6,8,Zabur 6:8,"(6-9) Menjauhlah dari diriku, hai semua yang berbuat jahat, karena ALLAH telah mendengar suara tangisku.",
Zabur,6,9,Zabur 6:9,"(6-10) ALLAH telah mendengar permintaanku, ALLAH menerima doaku.",
Zabur,6,10,Zabur 6:10,"(6-11) Semua musuhku akan mendapat malu dan sangat terkejut, mereka akan mundur dan mendapat malu dalam sekejap.",
Zabur,7,1,Zabur 7:1,"(7-1) Nyanyian ratapan Daud, yang dinyanyikan untuk ALLAH karena Kus, orang Benyamin itu. (7-2) Ya ALLAH, ya Tuhanku, pada-Mulah aku berlindung. Selamatkanlah aku dari semua orang yang mengejar aku, dan lepaskanlah aku","Allah, Hakim Yang Adil"
Zabur,7,2,Zabur 7:2,(7-3) supaya jangan mereka mencabik aku seperti singa dan mengoyak-ngoyak diriku sementara tidak ada penolong.,
Zabur,7,3,Zabur 7:3,"(7-4) Ya ALLAH, ya Tuhanku, jika aku melakukan ini: Jika ada kezaliman dalam tanganku,",
