Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Lukas,1,1,Lukas 1:1,إِذْ كَانَ كَثِيرُونَ قَدْ أَخَذُوا بِتَأْلِيفِ قِصَّةٍ فِي ٱلْأُمُورِ ٱلْمُتَيَقَّنَةِ عِنْدَنَا،,"Sudah ada banyak orang berusaha menyusun sebuah catatan tentang peristiwa-peristiwa yang telah terjadi di tengah-tengah kita,","Sesungguhnya, banyak orang telah berusaha menulis kisah tentang peristiwa-peristiwa yang terjadi di antara kita.",
Lukas,1,2,Lukas 1:2,كَمَا سَلَّمَهَا إِلَيْنَا ٱلَّذِينَ كَانُوا مُنْذُ ٱلْبَدْءِ مُعَايِنِينَ وَخُدَّامًا لِلْكَلِمَةِ،,seperti halnya catatan yang telah disampaikan kepada kita oleh orang-orang yang sejak semula telah menjadi saksi mata dan pemberita Firman.,Kisah itu disampaikan kepada kita oleh orang-orang yang sejak semula melihat dengan mata kepala sendiri peristiwa-peristiwa itu dan yang juga menjadi pemberita firman.,
Lukas,1,3,Lukas 1:3,رَأَيْتُ أَنَا أَيْضًا إِذْ قَدْ تَتَبَّعْتُ كُلَّ شَيْءٍ مِنَ ٱلْأَوَّلِ بِتَدْقِيقٍ، أَنْ أَكْتُبَ عَلَى ٱلتَّوَالِي إِلَيْكَ أَيُّهَا ٱلْعَزِيزُ ثَاوُفِيلُسُ،,"Karena aku telah mempelajari semuanya dengan teliti dari awal, baiklah aku juga menuliskannya secara berurutan bagimu, hai Teofilus yang mulia,","Aku sendiri telah memeriksa semuanya dengan teliti dari awal. Maka sekarang, Tuan Teofilus yang mulia, aku berkenan menulisnya lagi dengan teratur untuk Tuan.",
Lukas,1,4,Lukas 1:4,لِتَعْرِفَ صِحَّةَ ٱلْكَلَامِ ٱلَّذِي عُلِّمْتَ بِهِ.,supaya engkau dapat mengetahui kebenaran tentang hal-hal yang telah diajarkan kepadamu.,"Dengan demikian, Tuan dapat mengetahui dengan tepat kebenaran dari semua yang diajarkan kepada Tuan.",
Lukas,1,5,Lukas 1:5,كَانَ فِي أَيَّامِ هِيرُودُسَ مَلِكِ ٱلْيَهُودِيَّةِ كَاهِنٌ ٱسْمُهُ زَكَرِيَّا مِنْ فِرْقَةِ أَبِيَّا، وَٱمْرَأَتُهُ مِنْ بَنَاتِ هارُونَ وَٱسْمُهَا أَلِيصَابَاتُ.,"Pada masa pemerintahan Herodes , Raja Yudea , ada seorang imam bernama Zakharia yang berasal dari kelompok imam Abia . Istrinya berasal dari keturunan Harun , dan namanya adalah Elisabet.","Pada waktu Herodes menjadi raja wilayah Yudea, ada seorang imam bernama Zakharia. Ia termasuk rombongan imam Abia. Istrinya berasal dari keturunan Harun, namanya Elisabet.",
Lukas,1,6,Lukas 1:6,وَكَانَا كِلَاهُمَا بَارَّيْنِ أَمَامَ ٱللهِ، سَالِكَيْنِ فِي جَمِيعِ وَصَايَا ٱلرَّبِّ وَأَحْكَامِهِ بِلَا لَوْمٍ.,Zakharia dan Elisabet adalah orang-orang yang benar di hadapan Allah. Mereka hidup tak bercela sesuai dengan semua hukum dan perintah Tuhan.,Keduanya adalah orang yang saleh di hadapan Allah. Mereka hidup menurut segala perintah dan hukum Tuhan dengan tidak bercacat.,
Lukas,1,7,Lukas 1:7,وَلَمْ يَكُنْ لَهُمَا وَلَدٌ، إِذْ كَانَتْ أَلِيصَابَاتُ عَاقِرًا. وَكَانَا كِلَاهُمَا مُتَقَدِّمَيْنِ فِي أَيَّامِهِمَا.,"Akan tetapi, mereka tidak mempunyai anak karena Elisabet mandul dan keduanya sudah sangat tua.","Namun, mereka tidak mempunyai anak karena Elisabet mandul. Selain itu, keduanya pun sudah lanjut usia.",
Lukas,1,8,Lukas 1:8,فَبَيْنَمَا هُوَ يَكْهَنُ فِي نَوْبَةِ فِرْقَتِهِ أَمَامَ ٱللهِ،,"Ketika tiba giliran rombongannya untuk bertugas, Zakharia mendapat tugas untuk menjadi imam di hadapan Allah.","Pada suatu kali, ketika tiba giliran rombongan imam Abia, Zakharia menjalankan pekerjaan keimaman di hadapan Allah.",
Lukas,1,9,Lukas 1:9,حَسَبَ عَادَةِ ٱلْكَهَنُوتِ، أَصَابَتْهُ ٱلْقُرْعَةُ أَنْ يَدْخُلَ إِلَى هَيْكَلِ ٱلرَّبِّ وَيُبَخِّرَ.,"Menurut kebiasaan keimaman, Zakharia terpilih berdasarkan undian untuk masuk ke Bait Allah dan membakar ukupan .","Menurut adat istiadat pekerjaan imam, undian dilaksanakan untuk menentukan siapa imam yang bertugas masuk ke dalam Bait Allah dan membakar dupa di situ. Kali itu, Zakharialah yang terkena undian.",
Lukas,1,10,Lukas 1:10,وَكَانَ كُلُّ جُمْهُورِ ٱلشَّعْبِ يُصَلُّونَ خَارِجًا وَقْتَ ٱلْبَخُورِ.,"Pada saat ukupan dipersembahkan, seluruh umat berdoa di luar.","Pada saat pembakaran dupa itu dilakukan, seluruh umat yang berada di luar memanjatkan doa.",
