Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Markus,1,1,Markus 1:1,بَدْءُ إِنْجِيلِ يَسُوعَ ٱلْمَسِيحِ ٱبْنِ ٱللهِ،,"Inilah permulaan Injil Yesus Kristus , Anak Allah ,","Inilah permulaan Injil mengenai Isa Al-Masih, Sang Anak yang datang dari Allah,",
Markus,1,2,Markus 1:2,كَمَا هُوَ مَكْتُوبٌ فِي ٱلْأَنْبِيَاءِ: «هَا أَنَا أُرْسِلُ أَمَامَ وَجْهِكَ مَلَاكِي، ٱلَّذِي يُهَيِّئُ طَرِيقَكَ قُدَّامَكَ.,seperti yang tertulis dalam kitab nabi-nabi. “Lihatlah! Aku mengirim utusan-Ku mendahului Engkau yang akan mempersiapkan jalan bagi-Mu. Maleakhi 3:1,"seperti telah tertulis dalam tulisan Nabi Yesaya, “Lihatlah, Aku menyuruh utusan-Ku mendahului Engkau; dialah yang akan mempersiapkan jalan bagi-Mu.",
Markus,1,3,Markus 1:3,صَوْتُ صَارِخٍ فِي ٱلْبَرِّيَّةِ: أَعِدُّوا طَرِيقَ ٱلرَّبِّ، ٱصْنَعُوا سُبُلَهُ مُسْتَقِيمَةً».,"Ada suara orang yang berseru-seru di padang belantara: ‘Siapkanlah jalan bagi Tuhan, buatlah jalan-Nya lurus.’” Yesaya 40:3","Ada suara orang yang berseru-seru di padang belantara, ‘Persiapkanlah jalan bagi Tuhan! Luruskanlah jalan-jalan-Nya!’”",
Markus,1,4,Markus 1:4,كَانَ يُوحَنَّا يُعَمِّدُ فِي ٱلْبَرِّيَّةِ وَيَكْرِزُ بِمَعْمُودِيَّةِ ٱلتَّوْبَةِ لِمَغْفِرَةِ ٱلْخَطَايَا.,Yohanes tampil membaptis di padang belantara dan memberitakan baptisan pertobatan untuk pengampunan dosa.,Nabi Yahya tampil di padang belantara. Ia mengabarkan permandian sebagai tanda pertobatan demi pengampunan dosa.,
Markus,1,5,Markus 1:5,وَخَرَجَ إِلَيْهِ جَمِيعُ كُورَةِ ٱلْيَهُودِيَّةِ وَأَهْلُ أُورُشَلِيمَ وَٱعْتَمَدُوا جَمِيعُهُمْ مِنْهُ فِي نَهْرِ ٱلْأُرْدُنِّ، مُعْتَرِفِينَ بِخَطَايَاهُمْ.,"Semua penduduk Yudea dan semua orang Yerusalem datang kepadanya, dan dengan mengakui dosa-dosanya, mereka dibaptis oleh Yohanes di Sungai Yordan.","Kemudian, berdatanganlah orang-orang dari seluruh wilayah Yudea dan semua penduduk Yerusalem untuk menemuinya. Mereka dipermandikan olehnya di Sungai Yordan setelah mengaku dosa mereka masing-masing.",
Markus,1,6,Markus 1:6,وَكَانَ يُوحَنَّا يَلْبَسُ وَبَرَ ٱلْإِبِلِ، وَمِنْطَقَةً مِنْ جِلْدٍ عَلَى حَقْوَيْهِ، وَيَأْكُلُ جَرَادًا وَعَسَلًا بَرِّيًّا.,Yohanes diberi pakaian rambut unta dengan ikat pinggang kulit melingkar di pinggangnya. Dia makan belalang dan madu hutan .,"Pakaian Yahya terbuat dari bulu unta dan ikat pinggangnya dari kulit, sedangkan makanannya ialah belalang serta madu hutan.",
Markus,1,7,Markus 1:7,وَكَانَ يَكْرِزُ قَائِلًا: «يَأْتِي بَعْدِي مَنْ هُوَ أَقْوَى مِنِّي، ٱلَّذِي لَسْتُ أَهْلًا أَنْ أَنْحَنِيَ وَأَحُلَّ سُيُورَ حِذَائِهِ.,"Dia berkhotbah dan berkata, “Setelah aku, akan datang Dia yang lebih berkuasa daripada aku dan Aku tidak layak untuk membungkuk dan melepaskan tali sandal-Nya.","Ia menyampaikan berita ini, “Sesudah aku, akan datang seseorang yang lebih berkuasa daripada aku. Membungkukkan diri untuk membukakan tali kasut-Nya pun aku tidak layak.",
Markus,1,8,Markus 1:8,أَنَا عَمَّدْتُكُمْ بِٱلْمَاءِ، وَأَمَّا هُوَ فَسَيُعَمِّدُكُمْ بِٱلرُّوحِ ٱلْقُدُسِ».,"Aku telah membaptis kamu dengan air, tetapi Dia akan membaptis kamu dengan Roh Kudus .”","Aku mempermandikan kamu dengan air, tetapi Dia akan mempermandikan kamu dengan Ruh Allah Yang Mahasuci.”",
Markus,1,9,Markus 1:9,وَفِي تِلْكَ ٱلْأَيَّامِ جَاءَ يَسُوعُ مِنْ نَاصِرَةِ ٱلْجَلِيلِ وَٱعْتَمَدَ مِنْ يُوحَنَّا فِي ٱلْأُرْدُنِّ.,"Pada saat itu, Yesus datang dari Nazaret, wilayah Galilea, dan dibaptis oleh Yohanes di Sungai Yordan.","Pada waktu itu datanglah Isa dari Nazaret di wilayah Galilea, kemudian Ia pun dipermandikan oleh Yahya di Sungai Yordan.",
Markus,1,10,Markus 1:10,وَلِلْوَقْتِ وَهُوَ صَاعِدٌ مِنَ ٱلْمَاءِ رَأَى ٱلسَّمَاوَاتِ قَدِ ٱنْشَقَّتْ، وَٱلرُّوحَ مِثْلَ حَمَامَةٍ نَازِلًا عَلَيْهِ.,"Segera sesudah keluar dari air, Dia melihat langit terbelah dan Roh turun menyerupai burung merpati ke atas-Nya.","Ketika Isa keluar dari air, Ia melihat langit terkoyak dan Ruh Allah, seperti seekor merpati, turun ke atas-Nya.",
