Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Yohanes,1,1,Yohanes 1:1,فِي ٱلْبَدْءِ كَانَ ٱلْكَلِمَةُ، وَٱلْكَلِمَةُ كَانَ عِنْدَ ٱللهِ، وَكَانَ ٱلْكَلِمَةُ ٱللهَ.,"Pada mulanya adalah Firman , Firman itu bersama-sama dengan Allah dan Firman itu adalah Allah.","Kalam telah ada dari mulanya. Kalam itu bersama Allah, dan Kalam itu adalah Allah.",
Yohanes,1,2,Yohanes 1:2,هَذَا كَانَ فِي ٱلْبَدْءِ عِنْدَ ٱللهِ.,Firman itu telah bersama-sama dengan Allah sejak semula.,Sejak semula Kalam itu bersama Allah.,
Yohanes,1,3,Yohanes 1:3,كُلُّ شَيْءٍ بِهِ كَانَ، وَبِغَيْرِهِ لَمْ يَكُنْ شَيْءٌ مِمَّا كَانَ.,"Segala sesuatu diciptakan melalui Dia. Tanpa Dia, segala sesuatu yang sudah ada ini tidak mungkin bisa ada.","Segala sesuatu dijadikan oleh-Nya dan dari segala yang ada, tidak ada sesuatu pun yang dijadikan tanpa Dia.",
Yohanes,1,4,Yohanes 1:4,فِيهِ كَانَتِ ٱلْحَيَاةُ، وَٱلْحَيَاةُ كَانَتْ نُورَ ٱلنَّاسِ،,"Di dalam Dia ada hidup, dan hidup itu adalah Terang manusia.","Hidup itu ada di dalam Dia, dan hidup itu adalah terang manusia.",
Yohanes,1,5,Yohanes 1:5,وَٱلنُّورُ يُضِيءُ فِي ٱلظُّلْمَةِ، وَٱلظُّلْمَةُ لَمْ تُدْرِكْهُ.,"Terang itu bercahaya dalam kegelapan, dan kegelapan tidak dapat menguasai-Nya .",Terang itu bercahaya di dalam kegelapan dan kegelapan tidak dapat mengalahkannya.,
Yohanes,1,6,Yohanes 1:6,كَانَ إِنْسَانٌ مُرْسَلٌ مِنَ ٱللهِ ٱسْمُهُ يُوحَنَّا.,"Ada seorang yang diutus Allah, namanya Yohanes.",Ada seorang utusan Allah bernama Yahya.,
Yohanes,1,7,Yohanes 1:7,هَذَا جَاءَ لِلشَّهَادَةِ لِيَشْهَدَ لِلنُّورِ، لِكَيْ يُؤْمِنَ ٱلْكُلُّ بِوَاسِطَتِهِ.,Ia datang sebagai saksi untuk menyampaikan kesaksian tentang Terang itu supaya melalui dia semua orang menjadi percaya.,Ia datang untuk memberi kesaksian mengenai terang itu supaya melalui kehadirannya semua orang dapat percaya.,
Yohanes,1,8,Yohanes 1:8,لَمْ يَكُنْ هُوَ ٱلنُّورَ، بَلْ لِيَشْهَدَ لِلنُّورِ.,"Yohanes sendiri bukanlah Terang itu, tetapi dia datang untuk menyampaikan kesaksian tentang Terang itu.","Ia bukan terang itu, tetapi ia harus memberi kesaksian mengenai terang itu.",
Yohanes,1,9,Yohanes 1:9,كَانَ ٱلنُّورُ ٱلْحَقِيقِيُّ ٱلَّذِي يُنِيرُ كُلَّ إِنْسَانٍ آتِيًا إِلَى ٱلْعَالَمِ.,"Terang yang sejati, yang menerangi semua orang, akan datang ke dunia.","Terang yang benar, yang menerangi setiap orang, datang ke dalam dunia.",
Yohanes,1,10,Yohanes 1:10,كَانَ فِي ٱلْعَالَمِ، وَكُوِّنَ ٱلْعَالَمُ بِهِ، وَلَمْ يَعْرِفْهُ ٱلْعَالَمُ.,"Terang itu telah ada di dunia dan dunia ini dijadikan oleh-Nya, tetapi dunia tidak mengenal-Nya.","Ia ada di dalam dunia, bahkan dunia ini dijadikan oleh-Nya, tetapi dunia tidak mengenal-Nya.",
Yohanes,1,11,Yohanes 1:11,إِلَى خَاصَّتِهِ جَاءَ، وَخَاصَّتُهُ لَمْ تَقْبَلْهُ.,"Ia mendatangi kepunyaan-Nya, tetapi kepunyaan-Nya itu tidak menerima Dia.","Ia datang kepada milik-Nya sendiri, tetapi orang-orang milik-Nya itu tidak menerima-Nya.",
Yohanes,1,12,Yohanes 1:12,وَأَمَّا كُلُّ ٱلَّذِينَ قَبِلُوهُ فَأَعْطَاهُمْ سُلْطَانًا أَنْ يَصِيرُوا أَوْلَادَ ٱللهِ، أَيِ ٱلْمُؤْمِنُونَ بِٱسْمِهِ.,"Namun, mereka yang menerima Dia diberi-Nya kuasa untuk menjadi anak-anak Allah, yaitu mereka yang percaya kepada nama-Nya.","Tetapi, orang-orang yang menerima-Nya diberi-Nya hak untuk menjadi anak-anak Allah, yaitu mereka yang percaya kepada nama-Nya.",
