Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Bilangan,1,1,Bilangan 1:1,وَكَلَّمَ ٱلرَّبُّ مُوسَى فِي بَرِّيَّةِ سِينَاءَ، فِي خَيْمَةِ ٱلِٱجْتِمَاعِ، فِي أَوَّلِ ٱلشَّهْرِ ٱلثَّانِي فِي ٱلسَّنَةِ ٱلثَّانِيَةِ لِخُرُوجِهِمْ مِنْ أَرْضِ مِصْرَ قَائِلًا:,"Pada hari pertama bulan kedua, tahun kedua sesudah umat Israel meninggalkan Mesir, TUHAN berfirman kepada Musa dalam tenda pertemuan di padang gurun Sinai,","Pada hari pertama di bulan kedua, dalam tahun kedua setelah orang Israil keluar dari Tanah Mesir, ALLAH berfirman kepada Musa dalam Kemah Hadirat Allah di Padang Belantara Sinai demikian,",
Bilangan,1,2,Bilangan 1:2,«أَحْصُوا كُلَّ جَمَاعَةِ بَنِي إِسْرَائِيلَ بِعَشَائِرِهِمْ وَبُيُوتِ آبَائِهِمْ، بِعَدَدِ ٱلْأَسْمَاءِ، كُلَّ ذَكَرٍ بِرَأْسِهِ،,"“Hitunglah jumlah umat Israel. Daftarkan nama setiap orang menurut kaum keluarganya, catatlah nama setiap laki-laki, orang demi orang.",“Adakanlah cacah jiwa atas seluruh umat bani Israil menurut kaum dan keluarga mereka. Catatlah satu demi satu nama semua laki-laki,
Bilangan,1,3,Bilangan 1:3,مِنِ ٱبْنِ عِشْرِينَ سَنَةً فَصَاعِدًا، كُلَّ خَارِجٍ لِلْحَرْبِ فِي إِسْرَائِيلَ. تَحْسُبُهُمْ أَنْتَ وَهَارُونُ حَسَبَ أَجْنَادِهِمْ.,"Kamu dan Harun harus menghitung semua laki-laki di Israel yang berusia 20 tahun ke atas, yang sanggup maju berperang. Catatlah mereka menurut barisan masing-masing.",di Israil yang berumur dua puluh tahun ke atas dan sanggup berperang. Engkau dan Harun harus menghitung mereka menurut pasukannya masing-masing.,
Bilangan,1,4,Bilangan 1:4,وَيَكُونُ مَعَكُمَا رَجُلٌ لِكُلِّ سِبْطٍ، رَجُلٌ هُوَ رَأْسٌ لِبَيْتِ آبَائِهِ.,"Dari setiap suku, harus ada satu orang kepala leluhurnya.","Dari tiap-tiap suku harus ada satu orang yang menyertaimu, yaitu orang yang menjadi kepala kaum keluarganya.",
Bilangan,1,5,Bilangan 1:5,وَهَذِهِ أَسْمَاءُ ٱلرِّجَالِ ٱلَّذِينَ يَقِفُونَ مَعَكُمَا: لِرَأُوبَيْنَ أَلِيصُورُ بْنُ شَدَيْئُورَ.,"Inilah nama-nama mereka yang akan membantumu: dari suku Ruben — Elizur, anak Syedeur;","Inilah nama orang-orang yang harus menyertaimu: Elizur bin Syedeur, dari suku Ruben;",
Bilangan,1,6,Bilangan 1:6,لِشِمْعُونَ شَلُومِيئِيلُ بْنُ صُورِيشَدَّاي.,"dari suku Simeon — Selumiel, anak Zurisyadai;","Selumiel bin Zurisyadai, dari suku Simeon;",
Bilangan,1,7,Bilangan 1:7,لِيَهُوذَا نَحْشُونُ بْنُ عَمِّينَادَابَ.,"dari suku Yehuda — Nahason, anak Aminadab;","Nahason bin Aminadab, dari suku Yuda;",
Bilangan,1,8,Bilangan 1:8,لِيَسَّاكَرَ نَثَنَائِيلُ بْنُ صُوغَرَ.,"dari suku Isakhar — Netaneel, anak Zuar;","Netaneel bin Zuar, dari suku Isakhar;",
Bilangan,1,9,Bilangan 1:9,لِزَبُولُونَ أَلِيآبُ بْنُ حِيلُونَ.,"dari suku Zebulon — Eliab, anak Helon;","Eliab bin Helon, dari suku Zebulon;",
Bilangan,1,10,Bilangan 1:10,لِٱبْنَيْ يُوسُفَ: لِأَفْرَايِمَ أَلِيشَمَعُ بْنُ عَمِّيهُودَ، وَلِمَنَسَّى جَمْلِيئِيلُ بْنُ فَدَهْصُورَ.,"dari keturunan Yusuf: dari suku Efraim — Elisama, anak Amihud; dari suku Manasye — Gamaliel, anak Pedazur;","Elisama bin Amihud, dari suku Efraim, dan Gamaliel bin Pedazur, dari suku Manasye, keduanya keturunan Yusuf;",
