Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Kejadian,1,1,Kejadian 1:1,فِي ٱلْبَدْءِ خَلَقَ ٱللهُ ٱلسَّمَاوَاتِ وَٱلْأَرْضَ.,"Pada mulanya, Allah menciptakan langit dan bumi.",Pada mulanya Allah menciptakan langit dan bumi.,
Kejadian,1,2,Kejadian 1:2,وَكَانَتِ ٱلْأَرْضُ خَرِبَةً وَخَالِيَةً، وَعَلَى وَجْهِ ٱلْغَمْرِ ظُلْمَةٌ، وَرُوحُ ٱللهِ يَرِفُّ عَلَى وَجْهِ ٱلْمِيَاهِ.,"Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air.","Bumi belum berbentuk dan kosong. Kegelapan meliputi permukaan samudera, dan Ruh Allah melayang-layang di atas permukaan air.",
Kejadian,1,3,Kejadian 1:3,وَقَالَ ٱللهُ: «لِيَكُنْ نُورٌ»، فَكَانَ نُورٌ.,"Kemudian, Allah berfirman, “Jadilah terang.” Lalu, terang itu jadi.","Berfirmanlah Allah, “Jadilah terang.” Lalu, terang pun jadi.",
Kejadian,1,4,Kejadian 1:4,وَرَأَى ٱللهُ ٱلنُّورَ أَنَّهُ حَسَنٌ. وَفَصَلَ ٱللهُ بَيْنَ ٱلنُّورِ وَٱلظُّلْمَةِ.,"Allah melihat bahwa terang itu baik. Kemudian, Allah memisahkan terang itu dari gelap.","Allah melihat bahwa terang itu baik, lalu dipisahkan-Nya terang itu dari gelap.",
Kejadian,1,5,Kejadian 1:5,وَدَعَا ٱللهُ ٱلنُّورَ نَهَارًا، وَٱلظُّلْمَةُ دَعَاهَا لَيْلًا. وَكَانَ مَسَاءٌ وَكَانَ صَبَاحٌ يَوْمًا وَاحِدًا.,"Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.","Allah menamai terang itu “siang” dan gelap itu “malam”. Jadilah petang dan jadilah pagi, itulah hari pertama.",
Kejadian,1,6,Kejadian 1:6,وَقَالَ ٱللهُ: «لِيَكُنْ جَلَدٌ فِي وَسَطِ ٱلْمِيَاهِ. وَلْيَكُنْ فَاصِلًا بَيْنَ مِيَاهٍ وَمِيَاهٍ».,"Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!”","Berfirmanlah Allah, “Jadilah cakrawala di tengah-tengah segala air, dan hendaklah cakrawala itu memisahkan air dengan air.”",
Kejadian,1,7,Kejadian 1:7,فَعَمِلَ ٱللهُ ٱلْجَلَدَ، وَفَصَلَ بَيْنَ ٱلْمِيَاهِ ٱلَّتِي تَحْتَ ٱلْجَلَدِ وَٱلْمِيَاهِ ٱلَّتِي فَوْقَ ٱلْجَلَدِ. وَكَانَ كَذَلِكَ.,"Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian.","Maka, Allah menjadikan cakrawala serta memisahkan air yang ada di bawah cakrawala itu dengan air yang ada di atasnya. Lalu, jadilah demikian.",
Kejadian,1,8,Kejadian 1:8,وَدَعَا ٱللهُ ٱلْجَلَدَ سَمَاءً. وَكَانَ مَسَاءٌ وَكَانَ صَبَاحٌ يَوْمًا ثَانِيًا.,"Allah menyebut cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua.","Allah menamai cakrawala itu “langit”. Jadilah petang dan jadilah pagi, itulah hari kedua.",
Kejadian,1,9,Kejadian 1:9,وَقَالَ ٱللهُ: «لِتَجْتَمِعِ ٱلْمِيَاهُ تَحْتَ ٱلسَّمَاءِ إِلَى مَكَانٍ وَاحِدٍ، وَلْتَظْهَرِ ٱلْيَابِسَةُ». وَكَانَ كَذَلِكَ.,"Kemudian, Allah berfirman, “Biarlah air yang ada di bawah langit berkumpul ke satu tempat dan biarlah tanah yang kering itu tampak.” Lalu, jadilah demikian.","Berfirmanlah Allah, “Hendaklah air yang ada di bawah langit berkumpul di suatu tempat, dan hendaklah tampak tempat yang kering.” Lalu, jadilah demikian.",
Kejadian,1,10,Kejadian 1:10,وَدَعَا ٱللهُ ٱلْيَابِسَةَ أَرْضًا، وَمُجْتَمَعَ ٱلْمِيَاهِ دَعَاهُ بِحَارًا. وَرَأَى ٱللهُ ذَلِكَ أَنَّهُ حَسَنٌ.,Allah menyebut tanah yang kering itu darat dan kumpulan air itu disebut-Nya laut. Allah melihat bahwa itu baik.,"Allah menamai tempat yang kering itu “tanah”, sedangkan kumpulan air itu dinamai-Nya “laut”. Allah melihat bahwa semua itu baik.",
